03/08/2018 12:08 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2018 12:08
03/08/2018 12:47 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2018 12:47
03/08/2018 12:55 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 03/08/2018 12:55
03/08/2018 13:04 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2018 13:04
03/08/2018 13:06 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2018 13:06
03/08/2018 13:20 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 03/08/2018 13:20
03/08/2018 13:20 - MATHEUSRODRIGUES | ID_USUARIO = 11533 | DATA_LOGIN = 03/08/2018 13:20
03/08/2018 13:33 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/08/2018 13:33
03/08/2018 13:45 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 03/08/2018 13:45
03/08/2018 14:19 - GENAILDOTORRES | ID_USUARIO = 7046 | DATA_LOGIN = 03/08/2018 14:19
03/08/2018 14:26 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2018 14:26
03/08/2018 14:32 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 03/08/2018 14:32
03/08/2018 14:35 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2018 14:35
03/08/2018 14:59 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/08/2018 14:59
03/08/2018 15:02 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/08/2018 15:02
03/08/2018 15:04 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/08/2018 15:04
03/08/2018 15:08 - GENAILDOTORRES | ID_USUARIO = 7046 | DATA_LOGIN = 03/08/2018 15:08
03/08/2018 15:22 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2018 15:22
03/08/2018 15:26 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 03/08/2018 15:26
03/08/2018 15:48 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/08/2018 15:48
03/08/2018 15:49 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 03/08/2018 15:49
03/08/2018 16:04 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/08/2018 16:04
03/08/2018 16:04 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2018 16:04
03/08/2018 16:04 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2018 16:04
03/08/2018 16:12 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2018 16:12
03/08/2018 16:14 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/08/2018 16:14
03/08/2018 16:24 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 03/08/2018 16:24
03/08/2018 16:28 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2018 16:28
03/08/2018 16:42 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2018 16:42
03/08/2018 16:49 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/08/2018 16:49
03/08/2018 16:57 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2018 16:57
03/08/2018 17:58 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2018 17:58
03/08/2018 18:01 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2018 18:01
03/08/2018 18:16 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2018 18:16
03/08/2018 18:27 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 03/08/2018 18:27
05/08/2018 05:51 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/08/2018 5:51
05/08/2018 08:13 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/08/2018 8:13
06/08/2018 07:05 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 06/08/2018 7:05
06/08/2018 07:10 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/08/2018 7:10
06/08/2018 07:15 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/08/2018 7:15
06/08/2018 07:15 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/08/2018 7:15
06/08/2018 07:23 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/08/2018 7:23
06/08/2018 07:24 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/08/2018 7:24
06/08/2018 07:25 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 06/08/2018 7:25
06/08/2018 07:29 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/08/2018 7:29
06/08/2018 07:30 - THIAGO | ID_USUARIO = 10892 | DATA_LOGIN = 06/08/2018 7:30
06/08/2018 07:37 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 06/08/2018 7:37
06/08/2018 07:37 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 06/08/2018 7:37
06/08/2018 07:38 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/08/2018 7:38
06/08/2018 07:48 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 06/08/2018 7:48
06/08/2018 07:58 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 06/08/2018 7:58
06/08/2018 07:59 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/08/2018 7:59
06/08/2018 08:03 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 06/08/2018 8:03
06/08/2018 08:24 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 06/08/2018 8:24
06/08/2018 08:24 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 06/08/2018 8:24
06/08/2018 08:32 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 06/08/2018 8:32
06/08/2018 08:39 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/08/2018 8:39
06/08/2018 08:55 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/08/2018 8:55
06/08/2018 08:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/08/2018 8:56
06/08/2018 09:00 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 06/08/2018 9:00
06/08/2018 09:04 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 06/08/2018 9:04
06/08/2018 09:05 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/08/2018 9:05
06/08/2018 09:08 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 06/08/2018 9:08
06/08/2018 09:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/08/2018 9:10
06/08/2018 09:11 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/08/2018 9:11
06/08/2018 09:11 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/08/2018 9:11
06/08/2018 09:19 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/08/2018 9:19
06/08/2018 09:21 - ROBERTO | ID_USUARIO = 10845 | DATA_LOGIN = 06/08/2018 9:21
06/08/2018 09:28 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/08/2018 9:28
06/08/2018 09:37 - ANITA | ID_USUARIO = 11002 | DATA_LOGIN = 06/08/2018 9:37
06/08/2018 09:42 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/08/2018 9:42
06/08/2018 10:09 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 06/08/2018 10:09
06/08/2018 10:18 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 06/08/2018 10:18
06/08/2018 10:18 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 06/08/2018 10:18
06/08/2018 10:30 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/08/2018 10:30
06/08/2018 10:35 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/08/2018 10:35
06/08/2018 11:15 - ROBERTO | ID_USUARIO = 10845 | DATA_LOGIN = 06/08/2018 11:15
06/08/2018 11:32 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 06/08/2018 11:32
06/08/2018 11:32 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 06/08/2018 11:32
06/08/2018 12:28 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/08/2018 12:28
06/08/2018 12:39 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/08/2018 12:39
06/08/2018 13:11 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/08/2018 13:11
06/08/2018 13:17 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/08/2018 13:17
06/08/2018 13:19 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/08/2018 13:19
06/08/2018 13:39 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 06/08/2018 13:39
06/08/2018 13:49 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 06/08/2018 13:49
06/08/2018 13:52 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/08/2018 13:52
06/08/2018 13:57 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 06/08/2018 13:57
06/08/2018 14:08 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/08/2018 14:08
06/08/2018 14:08 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 06/08/2018 14:08
06/08/2018 14:13 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 06/08/2018 14:13
06/08/2018 14:15 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 06/08/2018 14:15
06/08/2018 14:16 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/08/2018 14:16
06/08/2018 14:18 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/08/2018 14:18
06/08/2018 14:19 - THIAGO | ID_USUARIO = 10892 | DATA_LOGIN = 06/08/2018 14:19
06/08/2018 14:21 - FERNANDAPAREDE | ID_USUARIO = 7052 | DATA_LOGIN = 06/08/2018 14:21
06/08/2018 14:51 - EDUARDO | ID_USUARIO = 10844 | DATA_LOGIN = 06/08/2018 14:51
06/08/2018 14:57 - ANITA | ID_USUARIO = 11002 | DATA_LOGIN = 06/08/2018 14:57
06/08/2018 14:59 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 06/08/2018 14:59
06/08/2018 15:00 - EDUARDO | ID_USUARIO = 10844 | DATA_LOGIN = 06/08/2018 15:00
06/08/2018 15:09 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 06/08/2018 15:09
06/08/2018 15:18 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 06/08/2018 15:18
06/08/2018 15:19 - ANITA | ID_USUARIO = 11002 | DATA_LOGIN = 06/08/2018 15:19
06/08/2018 15:24 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/08/2018 15:24
06/08/2018 15:26 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 06/08/2018 15:26
06/08/2018 15:27 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 06/08/2018 15:27
06/08/2018 15:29 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/08/2018 15:29
06/08/2018 15:30 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/08/2018 15:30
06/08/2018 15:36 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/08/2018 15:36
06/08/2018 15:42 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/08/2018 15:42
06/08/2018 15:45 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/08/2018 15:45
06/08/2018 15:58 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 06/08/2018 15:58
06/08/2018 16:10 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/08/2018 16:10
06/08/2018 16:15 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/08/2018 16:15
06/08/2018 16:18 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/08/2018 16:18
06/08/2018 16:26 - EDUARDO | ID_USUARIO = 10844 | DATA_LOGIN = 06/08/2018 16:26
06/08/2018 16:34 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 06/08/2018 16:34
06/08/2018 16:38 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 06/08/2018 16:38
06/08/2018 16:38 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/08/2018 16:38
06/08/2018 16:42 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/08/2018 16:42
06/08/2018 16:44 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/08/2018 16:44
06/08/2018 16:49 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 06/08/2018 16:49
06/08/2018 16:51 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 06/08/2018 16:51
06/08/2018 17:10 - EDUARDO | ID_USUARIO = 10844 | DATA_LOGIN = 06/08/2018 17:10
06/08/2018 17:16 - EDUARDO | ID_USUARIO = 10844 | DATA_LOGIN = 06/08/2018 17:16
