06/05/2015 08:35 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 06/05/2015 8:35
06/05/2015 08:45 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/05/2015 8:45
06/05/2015 08:52 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 06/05/2015 8:52
06/05/2015 08:54 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 06/05/2015 8:54
06/05/2015 08:58 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 06/05/2015 8:58
06/05/2015 09:00 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 06/05/2015 9:00
06/05/2015 09:30 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2015 9:30
06/05/2015 09:44 - MARIASOUZA | ID_USUARIO = 11414 | DATA_LOGIN = 06/05/2015 9:44
06/05/2015 09:49 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2015 9:49
06/05/2015 09:55 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 06/05/2015 9:55
06/05/2015 10:10 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 06/05/2015 10:10
06/05/2015 10:43 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 06/05/2015 10:43
06/05/2015 10:45 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 06/05/2015 10:45
06/05/2015 10:46 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/05/2015 10:46
06/05/2015 10:46 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/05/2015 10:46
06/05/2015 10:50 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 06/05/2015 10:50
06/05/2015 11:12 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 06/05/2015 11:12
06/05/2015 11:14 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 06/05/2015 11:14
06/05/2015 11:25 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 06/05/2015 11:25
