22/05/2019 15:06 - OTAVIOGIRO | ID =  | CI = 27394 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 81.47
22/05/2019 15:12 - OTAVIOGIRO | ID =  | CI = 27395 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 145.35
22/05/2019 15:12 - OTAVIOGIRO | ID =  | CI = 27395 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 132.25
22/05/2019 15:12 - OTAVIOGIRO | ID =  | CI = 27395 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 215.00
22/05/2019 15:49 - OTAVIOGIRO | ID =  | CI = 27396 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 101.60
22/05/2019 15:49 - OTAVIOGIRO | ID =  | CI = 27396 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 69.92
22/05/2019 15:54 - OTAVIOGIRO | ID =  | CI = 27397 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 37.40
22/05/2019 15:54 - OTAVIOGIRO | ID = 28836 | CI = 27397 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 37.40
23/05/2019 09:43 - OTAVIOGIRO | ID =  | CI = 27399 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
23/05/2019 09:43 - OTAVIOGIRO | ID =  | CI = 27399 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 85.15
23/05/2019 09:47 - OTAVIOGIRO | ID =  | CI = 27400 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 101.21
23/05/2019 09:47 - OTAVIOGIRO | ID =  | CI = 27400 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 88.75
23/05/2019 10:38 - OTAVIOGIRO | ID =  | CI = 27401 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 266.02
23/05/2019 10:38 - OTAVIOGIRO | ID =  | CI = 27401 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 347.48
23/05/2019 10:38 - OTAVIOGIRO | ID =  | CI = 27401 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 500.00
23/05/2019 14:25 - OTAVIOGIRO | ID =  | CI = 27403 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 32.00
23/05/2019 14:28 - OTAVIOGIRO | ID =  | CI = 27404 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 113.00
23/05/2019 14:28 - OTAVIOGIRO | ID =  | CI = 27404 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 106.32
23/05/2019 14:31 - OTAVIOGIRO | ID =  | CI = 27405 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 15.00
23/05/2019 14:38 - OTAVIOGIRO | ID =  | CI = 27406 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
23/05/2019 14:38 - OTAVIOGIRO | ID =  | CI = 27406 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 80.96
23/05/2019 14:40 - OTAVIOGIRO | ID =  | CI = 27407 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
23/05/2019 14:40 - OTAVIOGIRO | ID =  | CI = 27407 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 53.46
24/05/2019 14:51 - TIAGOBOGANHA | ID =  | CI = 27417 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 107.10
24/05/2019 14:51 - TIAGOBOGANHA | ID =  | CI = 27417 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 63.55
24/05/2019 14:51 - TIAGOBOGANHA | ID =  | CI = 27417 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 81.50
25/05/2019 08:44 - NORIVAL | ID =  | CI = 27421 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 56.40
25/05/2019 08:44 - NORIVAL | ID =  | CI = 27421 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 48.00
25/05/2019 13:23 - NORIVAL | ID =  | CI = 27423 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 50.00
25/05/2019 13:23 - NORIVAL | ID =  | CI = 27423 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.50
27/05/2019 07:23 - SANDRA | ID =  | CI = 27425 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 131.80
27/05/2019 07:40 - OSVALDOFLORES | ID =  | CI = 27427 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 52.78
27/05/2019 07:40 - OSVALDOFLORES | ID =  | CI = 27427 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 7.20
27/05/2019 07:40 - OSVALDOFLORES | ID =  | CI = 27427 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
27/05/2019 07:40 - OSVALDOFLORES | ID =  | CI = 27427 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
27/05/2019 07:40 - OSVALDOFLORES | ID =  | CI = 27427 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
27/05/2019 07:40 - OSVALDOFLORES | ID =  | CI = 27427 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
27/05/2019 08:20 - OTAVIOGIRO | ID =  | CI = 27431 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.40
27/05/2019 08:26 - OTAVIOGIRO | ID =  | CI = 27432 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
27/05/2019 08:26 - OTAVIOGIRO | ID =  | CI = 27432 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 321.86
27/05/2019 11:21 - OTAVIOGIRO | ID =  | CI = 27441 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
27/05/2019 11:21 - OTAVIOGIRO | ID =  | CI = 27441 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 146.42
27/05/2019 11:21 - OTAVIOGIRO | ID =  | CI = 27441 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 42.00
27/05/2019 13:06 - CINTIAFERREIRA | ID =  | CI = 27442 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 178.50
27/05/2019 13:06 - CINTIAFERREIRA | ID =  | CI = 27442 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 39.80
27/05/2019 13:06 - CINTIAFERREIRA | ID =  | CI = 27442 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
27/05/2019 13:06 - CINTIAFERREIRA | ID =  | CI = 27442 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
27/05/2019 13:06 - CINTIAFERREIRA | ID =  | CI = 27442 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
27/05/2019 13:06 - CINTIAFERREIRA | ID =  | CI = 27442 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
27/05/2019 13:38 - CAMACETI | ID =  | CI = 27443 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 118.60
27/05/2019 13:38 - CAMACETI | ID =  | CI = 27443 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 100.00
28/05/2019 14:02 - NORIVAL | ID =  | CI = 27458 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 20.00
28/05/2019 14:16 - LUISMORETTI | ID =  | CI = 27459 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 14.60
29/05/2019 07:52 - LUZMARINA | ID =  | CI = 27466 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 44.32
30/05/2019 09:52 - ELTON | ID =  | CI = 27481 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 29.00
30/05/2019 09:52 - ELTON | ID =  | CI = 27481 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 200.00
30/05/2019 10:36 - GENAILDOTORRES | ID =  | CI = 27482 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 28.26
30/05/2019 10:37 - GENAILDOTORRES | ID = 29010 | CI = 27482 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 28.26
30/05/2019 10:40 - GENAILDOTORRES | ID =  | CI = 27483 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 504.90
30/05/2019 10:40 - GENAILDOTORRES | ID =  | CI = 27483 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 405.00
30/05/2019 10:45 - GENAILDOTORRES | ID =  | CI = 27484 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 1121.28
30/05/2019 10:45 - GENAILDOTORRES | ID =  | CI = 27484 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 1372.46
30/05/2019 10:45 - GENAILDOTORRES | ID =  | CI = 27484 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 2500.00
30/05/2019 15:43 - MAYRACATANI | ID =  | CI = 27487 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 192.60
31/05/2019 07:09 - KLEBER | ID =  | CI = 27489 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
31/05/2019 07:09 - KLEBER | ID =  | CI = 27489 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
31/05/2019 07:09 - KLEBER | ID =  | CI = 27489 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 119.90
31/05/2019 07:09 - KLEBER | ID =  | CI = 27489 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
31/05/2019 07:09 - KLEBER | ID =  | CI = 27489 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
31/05/2019 07:09 - KLEBER | ID =  | CI = 27489 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
31/05/2019 07:18 - MAYRACATANI | ID =  | CI = 27490 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 180.00
31/05/2019 07:23 - SANDRA | ID =  | CI = 27491 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 131.15
31/05/2019 10:46 - KLEBER | ID =  | CI = 27494 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
31/05/2019 10:46 - KLEBER | ID =  | CI = 27494 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
31/05/2019 10:46 - KLEBER | ID =  | CI = 27494 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 90.00
31/05/2019 10:46 - KLEBER | ID =  | CI = 27494 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
31/05/2019 10:46 - KLEBER | ID =  | CI = 27494 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
31/05/2019 10:46 - KLEBER | ID =  | CI = 27494 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
31/05/2019 17:23 - NORIVAL | ID =  | CI = 27497 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 52.00
