05/10/2016 09:45 - TOM | USUARIO = 10831 | CI = 17666 | STATUS = 3 | DATA = 05/10/2016 9:45 | MOTIVO_CANCELAMENTO = 
05/10/2016 10:16 - DORACI | USUARIO = 10886 | CI = 17667 | STATUS = 3 | DATA = 05/10/2016 10:16 | MOTIVO_CANCELAMENTO = 
05/10/2016 10:16 - DORACI | USUARIO = 10886 | CI = 17707 | STATUS = 7 | DATA = 05/10/2016 10:16 | MOTIVO_CANCELAMENTO = 
05/10/2016 10:16 - DORACI | USUARIO = 10886 | CI = 17707 | STATUS = 3 | DATA = 05/10/2016 10:16 | MOTIVO_CANCELAMENTO = 
05/10/2016 10:47 - ZEZE | USUARIO = 10931 | CI = 17708 | STATUS = 7 | DATA = 05/10/2016 10:47 | MOTIVO_CANCELAMENTO = 
05/10/2016 10:47 - ZEZE | USUARIO = 10931 | CI = 17709 | STATUS = 7 | DATA = 05/10/2016 10:47 | MOTIVO_CANCELAMENTO = 
05/10/2016 10:47 - ZEZE | USUARIO = 10931 | CI = 17710 | STATUS = 7 | DATA = 05/10/2016 10:47 | MOTIVO_CANCELAMENTO = 
05/10/2016 10:47 - ZEZE | USUARIO = 10931 | CI = 17711 | STATUS = 7 | DATA = 05/10/2016 10:47 | MOTIVO_CANCELAMENTO = 
05/10/2016 10:47 - ZEZE | USUARIO = 10931 | CI = 17712 | STATUS = 7 | DATA = 05/10/2016 10:47 | MOTIVO_CANCELAMENTO = 
05/10/2016 10:47 - ZEZE | USUARIO = 10931 | CI = 17712 | STATUS = 3 | DATA = 05/10/2016 10:47 | MOTIVO_CANCELAMENTO = 
05/10/2016 11:20 - MARTA | USUARIO = 10847 | CI = 17713 | STATUS = 3 | DATA = 05/10/2016 11:20 | MOTIVO_CANCELAMENTO = Aprovado.
05/10/2016 13:10 - MARCELOGODOI | USUARIO = 11316 | CI = 17714 | STATUS = 7 | DATA = 05/10/2016 13:10 | MOTIVO_CANCELAMENTO = 
05/10/2016 13:22 - ZEZE | USUARIO = 10931 | CI = 17717 | STATUS = 3 | DATA = 05/10/2016 13:22 | MOTIVO_CANCELAMENTO = 
05/10/2016 14:11 - CAMARA | USUARIO = 10841 | CI = 17703 | STATUS = 3 | DATA = 05/10/2016 14:11 | MOTIVO_CANCELAMENTO = 
05/10/2016 14:11 - CAMARA | USUARIO = 10841 | CI = 17705 | STATUS = 3 | DATA = 05/10/2016 14:11 | MOTIVO_CANCELAMENTO = 
05/10/2016 14:12 - RODRIGO_POIT | USUARIO = 11086 | CI = 17698 | STATUS = 5 | DATA = 05/10/2016 14:12 | MOTIVO_CANCELAMENTO = Não será feito mais a interposição de Agravo de Instrumento.
05/10/2016 14:20 - JG | USUARIO = 10849 | CI = 17716 | STATUS = 3 | DATA = 05/10/2016 14:20 | MOTIVO_CANCELAMENTO = ok
05/10/2016 17:01 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17701 | STATUS = 3 | DATA = 05/10/2016 17:01 | MOTIVO_CANCELAMENTO = 
05/10/2016 19:12 - DOUGLAS | USUARIO = 11530 | CI = 17719 | STATUS = 3 | DATA = 05/10/2016 19:12 | MOTIVO_CANCELAMENTO = 
05/10/2016 19:12 - DOUGLAS | USUARIO = 11530 | CI = 17711 | STATUS = 3 | DATA = 05/10/2016 19:12 | MOTIVO_CANCELAMENTO = 
05/10/2016 19:12 - DOUGLAS | USUARIO = 11530 | CI = 17710 | STATUS = 3 | DATA = 05/10/2016 19:12 | MOTIVO_CANCELAMENTO = 
05/10/2016 19:13 - DOUGLAS | USUARIO = 11530 | CI = 17708 | STATUS = 3 | DATA = 05/10/2016 19:13 | MOTIVO_CANCELAMENTO = 
05/10/2016 19:13 - DOUGLAS | USUARIO = 11530 | CI = 17670 | STATUS = 3 | DATA = 05/10/2016 19:13 | MOTIVO_CANCELAMENTO = 
05/10/2016 19:13 - DOUGLAS | USUARIO = 11530 | CI = 17668 | STATUS = 3 | DATA = 05/10/2016 19:13 | MOTIVO_CANCELAMENTO = 
06/10/2016 07:32 - CHRISTIANO | USUARIO = 11570 | CI = 17699 | STATUS = 3 | DATA = 06/10/2016 7:32 | MOTIVO_CANCELAMENTO = 
06/10/2016 07:32 - CHRISTIANO | USUARIO = 11570 | CI = 17708 | STATUS = 3 | DATA = 06/10/2016 7:32 | MOTIVO_CANCELAMENTO = 
06/10/2016 07:33 - CHRISTIANO | USUARIO = 11570 | CI = 17714 | STATUS = 3 | DATA = 06/10/2016 7:33 | MOTIVO_CANCELAMENTO = 
06/10/2016 07:33 - CHRISTIANO | USUARIO = 11570 | CI = 17709 | STATUS = 3 | DATA = 06/10/2016 7:33 | MOTIVO_CANCELAMENTO = 
06/10/2016 07:33 - CHRISTIANO | USUARIO = 11570 | CI = 17711 | STATUS = 3 | DATA = 06/10/2016 7:33 | MOTIVO_CANCELAMENTO = 
06/10/2016 07:34 - CHRISTIANO | USUARIO = 11570 | CI = 17710 | STATUS = 3 | DATA = 06/10/2016 7:34 | MOTIVO_CANCELAMENTO = 
06/10/2016 07:47 - MARTA | USUARIO = 10847 | CI = 17721 | STATUS = 3 | DATA = 06/10/2016 7:47 | MOTIVO_CANCELAMENTO = Aprovado.
06/10/2016 08:10 - LUIDE | USUARIO = 10836 | CI = 17600 | STATUS = 7 | DATA = 06/10/2016 8:10 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:10 - LUIDE | USUARIO = 10836 | CI = 17601 | STATUS = 7 | DATA = 06/10/2016 8:10 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:10 - LUIDE | USUARIO = 10836 | CI = 17610 | STATUS = 7 | DATA = 06/10/2016 8:10 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:10 - LUIDE | USUARIO = 10836 | CI = 17602 | STATUS = 7 | DATA = 06/10/2016 8:10 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:11 - LUIDE | USUARIO = 10836 | CI = 17665 | STATUS = 3 | DATA = 06/10/2016 8:11 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:11 - LUIDE | USUARIO = 10836 | CI = 17669 | STATUS = 3 | DATA = 06/10/2016 8:11 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:11 - LUIDE | USUARIO = 10836 | CI = 17671 | STATUS = 3 | DATA = 06/10/2016 8:11 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:11 - LUIDE | USUARIO = 10836 | CI = 17725 | STATUS = 7 | DATA = 06/10/2016 8:11 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:11 - LUIDE | USUARIO = 10836 | CI = 17727 | STATUS = 7 | DATA = 06/10/2016 8:11 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:37 - OSNY | USUARIO = 10826 | CI = 17728 | STATUS = 7 | DATA = 06/10/2016 8:37 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:37 - OSNY | USUARIO = 10826 | CI = 17728 | STATUS = 3 | DATA = 06/10/2016 8:37 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:37 - OSNY | USUARIO = 10826 | CI = 17730 | STATUS = 7 | DATA = 06/10/2016 8:37 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:37 - OSNY | USUARIO = 10826 | CI = 17730 | STATUS = 3 | DATA = 06/10/2016 8:37 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:41 - MATHEUSDELANEZA | USUARIO = 6900 | CI = 17724 | STATUS = 7 | DATA = 06/10/2016 8:41 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:42 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17726 | STATUS = 7 | DATA = 06/10/2016 8:42 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:42 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17726 | STATUS = 3 | DATA = 06/10/2016 8:42 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:44 - DOUGLAS | USUARIO = 11530 | CI = 17727 | STATUS = 3 | DATA = 06/10/2016 8:44 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:44 - DOUGLAS | USUARIO = 11530 | CI = 17725 | STATUS = 3 | DATA = 06/10/2016 8:44 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:44 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17724 | STATUS = 3 | DATA = 06/10/2016 8:44 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:44 - DOUGLAS | USUARIO = 11530 | CI = 17610 | STATUS = 3 | DATA = 06/10/2016 8:44 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:44 - DOUGLAS | USUARIO = 11530 | CI = 17602 | STATUS = 3 | DATA = 06/10/2016 8:44 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:44 - DOUGLAS | USUARIO = 11530 | CI = 17601 | STATUS = 3 | DATA = 06/10/2016 8:44 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:44 - DOUGLAS | USUARIO = 11530 | CI = 17600 | STATUS = 3 | DATA = 06/10/2016 8:44 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:46 - SYLVIO | USUARIO = 10914 | CI = 17700 | STATUS = 3 | DATA = 06/10/2016 8:46 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:46 - SYLVIO | USUARIO = 10914 | CI = 17709 | STATUS = 3 | DATA = 06/10/2016 8:46 | MOTIVO_CANCELAMENTO = 
06/10/2016 08:46 - SYLVIO | USUARIO = 10914 | CI = 17720 | STATUS = 7 | DATA = 06/10/2016 8:46 | MOTIVO_CANCELAMENTO = 
06/10/2016 09:04 - LUIDE | USUARIO = 10836 | CI = 17729 | STATUS = 3 | DATA = 06/10/2016 9:04 | MOTIVO_CANCELAMENTO = 
06/10/2016 09:04 - LUIDE | USUARIO = 10836 | CI = 17731 | STATUS = 7 | DATA = 06/10/2016 9:04 | MOTIVO_CANCELAMENTO = 
06/10/2016 09:04 - LUIDE | USUARIO = 10836 | CI = 17732 | STATUS = 7 | DATA = 06/10/2016 9:04 | MOTIVO_CANCELAMENTO = 
06/10/2016 09:07 - TADEUMACHADO | USUARIO = 11594 | CI = 17695 | STATUS = 3 | DATA = 06/10/2016 9:07 | MOTIVO_CANCELAMENTO = 
06/10/2016 09:11 - ZEZE | USUARIO = 10931 | CI = 17723 | STATUS = 7 | DATA = 06/10/2016 9:11 | MOTIVO_CANCELAMENTO = 
06/10/2016 09:11 - ZEZE | USUARIO = 10931 | CI = 17723 | STATUS = 3 | DATA = 06/10/2016 9:11 | MOTIVO_CANCELAMENTO = 
06/10/2016 09:11 - ZEZE | USUARIO = 10931 | CI = 17735 | STATUS = 7 | DATA = 06/10/2016 9:11 | MOTIVO_CANCELAMENTO = 
06/10/2016 09:11 - ZEZE | USUARIO = 10931 | CI = 17735 | STATUS = 3 | DATA = 06/10/2016 9:11 | MOTIVO_CANCELAMENTO = 
06/10/2016 09:55 - CHRISTIANO | USUARIO = 11570 | CI = 17731 | STATUS = 3 | DATA = 06/10/2016 9:55 | MOTIVO_CANCELAMENTO = 
06/10/2016 09:55 - CHRISTIANO | USUARIO = 11570 | CI = 17732 | STATUS = 3 | DATA = 06/10/2016 9:55 | MOTIVO_CANCELAMENTO = 
06/10/2016 10:11 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17737 | STATUS = 3 | DATA = 06/10/2016 10:11 | MOTIVO_CANCELAMENTO = Contrato de número 1071/2016.
06/10/2016 10:21 - MARCIO | USUARIO = 10850 | CI = 17633 | STATUS = 7 | DATA = 06/10/2016 10:21 | MOTIVO_CANCELAMENTO = 
06/10/2016 10:23 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17739 | STATUS = 3 | DATA = 06/10/2016 10:23 | MOTIVO_CANCELAMENTO = 
06/10/2016 10:23 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17740 | STATUS = 3 | DATA = 06/10/2016 10:23 | MOTIVO_CANCELAMENTO = 
06/10/2016 10:27 - DORACI | USUARIO = 10886 | CI = 17736 | STATUS = 3 | DATA = 06/10/2016 10:27 | MOTIVO_CANCELAMENTO = 
06/10/2016 10:27 - DORACI | USUARIO = 10886 | CI = 17741 | STATUS = 7 | DATA = 06/10/2016 10:27 | MOTIVO_CANCELAMENTO = 
06/10/2016 10:57 - JG | USUARIO = 10849 | CI = 17720 | STATUS = 3 | DATA = 06/10/2016 10:57 | MOTIVO_CANCELAMENTO = ok
06/10/2016 11:10 - DOUGLAS | USUARIO = 11530 | CI = 17741 | STATUS = 3 | DATA = 06/10/2016 11:10 | MOTIVO_CANCELAMENTO = 
06/10/2016 11:14 - MATHEUSDELANEZA | USUARIO = 6900 | CI = 17742 | STATUS = 4 | DATA = 06/10/2016 11:14 | MOTIVO_CANCELAMENTO = O profissional não irá mais almoçar na Usina.
06/10/2016 11:14 - OSNY | USUARIO = 10826 | CI = 17702 | STATUS = 7 | DATA = 06/10/2016 11:14 | MOTIVO_CANCELAMENTO = 
06/10/2016 11:14 - OSNY | USUARIO = 10826 | CI = 17704 | STATUS = 7 | DATA = 06/10/2016 11:14 | MOTIVO_CANCELAMENTO = 
06/10/2016 13:18 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17744 | STATUS = 7 | DATA = 06/10/2016 13:18 | MOTIVO_CANCELAMENTO = 
06/10/2016 13:18 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17744 | STATUS = 3 | DATA = 06/10/2016 13:18 | MOTIVO_CANCELAMENTO = 
06/10/2016 13:23 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17743 | STATUS = 7 | DATA = 06/10/2016 13:23 | MOTIVO_CANCELAMENTO = 
06/10/2016 13:23 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17743 | STATUS = 3 | DATA = 06/10/2016 13:23 | MOTIVO_CANCELAMENTO = 
06/10/2016 13:24 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17734 | STATUS = 7 | DATA = 06/10/2016 13:24 | MOTIVO_CANCELAMENTO = 
06/10/2016 13:24 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17734 | STATUS = 3 | DATA = 06/10/2016 13:24 | MOTIVO_CANCELAMENTO = 
06/10/2016 13:24 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17733 | STATUS = 7 | DATA = 06/10/2016 13:24 | MOTIVO_CANCELAMENTO = 
06/10/2016 13:24 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17733 | STATUS = 3 | DATA = 06/10/2016 13:24 | MOTIVO_CANCELAMENTO = 
06/10/2016 14:15 - DOUGLAS | USUARIO = 11530 | CI = 17702 | STATUS = 3 | DATA = 06/10/2016 14:15 | MOTIVO_CANCELAMENTO = 
06/10/2016 14:15 - DOUGLAS | USUARIO = 11530 | CI = 17704 | STATUS = 3 | DATA = 06/10/2016 14:15 | MOTIVO_CANCELAMENTO = 
06/10/2016 14:55 - ZEZE | USUARIO = 10931 | CI = 17746 | STATUS = 7 | DATA = 06/10/2016 14:55 | MOTIVO_CANCELAMENTO = 
06/10/2016 14:55 - ZEZE | USUARIO = 10931 | CI = 17746 | STATUS = 3 | DATA = 06/10/2016 14:55 | MOTIVO_CANCELAMENTO = 
06/10/2016 16:22 - JT | USUARIO = 10823 | CI = 17747 | STATUS = 7 | DATA = 06/10/2016 16:22 | MOTIVO_CANCELAMENTO = 
