03/08/2016 09:47 - AREIAS | USUARIO = 10997 | CI = 16914 | STATUS = 7 | DATA = 03/08/2016 9:47 | MOTIVO_CANCELAMENTO = 
03/08/2016 09:47 - AREIAS | USUARIO = 10997 | CI = 16915 | STATUS = 7 | DATA = 03/08/2016 9:47 | MOTIVO_CANCELAMENTO = 
03/08/2016 09:47 - AREIAS | USUARIO = 10997 | CI = 16918 | STATUS = 7 | DATA = 03/08/2016 9:47 | MOTIVO_CANCELAMENTO = 
03/08/2016 09:47 - AREIAS | USUARIO = 10997 | CI = 16918 | STATUS = 3 | DATA = 03/08/2016 9:47 | MOTIVO_CANCELAMENTO = 
03/08/2016 10:01 - MARCELOGODOI | USUARIO = 11316 | CI = 16921 | STATUS = 7 | DATA = 03/08/2016 10:01 | MOTIVO_CANCELAMENTO = A justificativa do recurso é que temos chances de reverter os quesitos de Prescrição Quinquenal, Hora de Percurso e Honorários.
03/08/2016 10:22 - HEBERTLUCIO | USUARIO = 11635 | CI = 16901 | STATUS = 3 | DATA = 03/08/2016 10:22 | MOTIVO_CANCELAMENTO = 
03/08/2016 10:22 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16919 | STATUS = 3 | DATA = 03/08/2016 10:22 | MOTIVO_CANCELAMENTO = 
03/08/2016 10:22 - HEBERTLUCIO | USUARIO = 11635 | CI = 16917 | STATUS = 3 | DATA = 03/08/2016 10:22 | MOTIVO_CANCELAMENTO = 
03/08/2016 11:22 - JT | USUARIO = 10823 | CI = 16923 | STATUS = 7 | DATA = 03/08/2016 11:22 | MOTIVO_CANCELAMENTO = 
03/08/2016 11:22 - JT | USUARIO = 10823 | CI = 16923 | STATUS = 3 | DATA = 03/08/2016 11:22 | MOTIVO_CANCELAMENTO = 
03/08/2016 13:20 - MARCIO | USUARIO = 10850 | CI = 16924 | STATUS = 3 | DATA = 03/08/2016 13:20 | MOTIVO_CANCELAMENTO = 
03/08/2016 16:02 - MARTA | USUARIO = 10847 | CI = 16925 | STATUS = 3 | DATA = 03/08/2016 16:02 | MOTIVO_CANCELAMENTO = aprovada.
03/08/2016 20:07 - DOUGLAS | USUARIO = 11530 | CI = 16914 | STATUS = 3 | DATA = 03/08/2016 20:07 | MOTIVO_CANCELAMENTO = 
04/08/2016 07:11 - CHRISTIANO | USUARIO = 11570 | CI = 16921 | STATUS = 3 | DATA = 04/08/2016 7:11 | MOTIVO_CANCELAMENTO = 
04/08/2016 08:50 - ZEZE | USUARIO = 10931 | CI = 16929 | STATUS = 7 | DATA = 04/08/2016 8:50 | MOTIVO_CANCELAMENTO = 
04/08/2016 08:50 - ZEZE | USUARIO = 10931 | CI = 16929 | STATUS = 3 | DATA = 04/08/2016 8:50 | MOTIVO_CANCELAMENTO = 
04/08/2016 10:00 - DORACI | USUARIO = 10886 | CI = 16932 | STATUS = 7 | DATA = 04/08/2016 10:00 | MOTIVO_CANCELAMENTO = 
04/08/2016 10:00 - DORACI | USUARIO = 10886 | CI = 16932 | STATUS = 3 | DATA = 04/08/2016 10:00 | MOTIVO_CANCELAMENTO = 
04/08/2016 11:19 - LUIDE | USUARIO = 10836 | CI = 16915 | STATUS = 3 | DATA = 04/08/2016 11:19 | MOTIVO_CANCELAMENTO = 
04/08/2016 11:19 - LUIDE | USUARIO = 10836 | CI = 16922 | STATUS = 3 | DATA = 04/08/2016 11:19 | MOTIVO_CANCELAMENTO = 
04/08/2016 11:20 - LUIDE | USUARIO = 10836 | CI = 16926 | STATUS = 7 | DATA = 04/08/2016 11:20 | MOTIVO_CANCELAMENTO = 
04/08/2016 11:20 - LUIDE | USUARIO = 10836 | CI = 16927 | STATUS = 7 | DATA = 04/08/2016 11:20 | MOTIVO_CANCELAMENTO = 
04/08/2016 11:20 - LUIDE | USUARIO = 10836 | CI = 16936 | STATUS = 7 | DATA = 04/08/2016 11:20 | MOTIVO_CANCELAMENTO = 
