05/10/2017 11:25 - MICHELAAUGUSTO | USUARIO = 6893 | CI = 22190 | STATUS = 5 | DATA = 05/10/2017 11:25 | MOTIVO_CANCELAMENTO = C.I elaborada pelo RH
05/10/2017 11:28 - DOUGLAS | USUARIO = 11530 | CI = 22189 | STATUS = 3 | DATA = 05/10/2017 11:28 | MOTIVO_CANCELAMENTO = 
05/10/2017 14:33 - ZEZE | USUARIO = 10931 | CI = 22181 | STATUS = 3 | DATA = 05/10/2017 14:33 | MOTIVO_CANCELAMENTO = 
05/10/2017 14:33 - ZEZE | USUARIO = 10931 | CI = 22192 | STATUS = 3 | DATA = 05/10/2017 14:33 | MOTIVO_CANCELAMENTO = 
05/10/2017 14:33 - ZEZE | USUARIO = 10931 | CI = 22195 | STATUS = 7 | DATA = 05/10/2017 14:33 | MOTIVO_CANCELAMENTO = 
05/10/2017 14:33 - ZEZE | USUARIO = 10931 | CI = 22195 | STATUS = 3 | DATA = 05/10/2017 14:33 | MOTIVO_CANCELAMENTO = 
05/10/2017 14:44 - ROBERTA | USUARIO = 10935 | CI = 22197 | STATUS = 7 | DATA = 05/10/2017 14:44 | MOTIVO_CANCELAMENTO = 
05/10/2017 14:52 - ROBERTA | USUARIO = 10935 | CI = 22199 | STATUS = 7 | DATA = 05/10/2017 14:52 | MOTIVO_CANCELAMENTO = 
05/10/2017 14:55 - ROBERTA | USUARIO = 10935 | CI = 22197 | STATUS = 3 | DATA = 05/10/2017 14:55 | MOTIVO_CANCELAMENTO = 
05/10/2017 14:55 - ROBERTA | USUARIO = 10935 | CI = 22199 | STATUS = 3 | DATA = 05/10/2017 14:55 | MOTIVO_CANCELAMENTO = 
05/10/2017 14:56 - TADEUMACHADO | USUARIO = 11594 | CI = 22198 | STATUS = 7 | DATA = 05/10/2017 14:56 | MOTIVO_CANCELAMENTO = 
05/10/2017 14:56 - TADEUMACHADO | USUARIO = 11594 | CI = 22198 | STATUS = 3 | DATA = 05/10/2017 14:56 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:14 - ROBERTA | USUARIO = 10935 | CI = 22200 | STATUS = 7 | DATA = 05/10/2017 15:14 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:14 - ROBERTA | USUARIO = 10935 | CI = 22200 | STATUS = 3 | DATA = 05/10/2017 15:14 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:14 - ROBERTA | USUARIO = 10935 | CI = 22201 | STATUS = 7 | DATA = 05/10/2017 15:14 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:14 - ROBERTA | USUARIO = 10935 | CI = 22202 | STATUS = 7 | DATA = 05/10/2017 15:14 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:14 - ROBERTA | USUARIO = 10935 | CI = 22202 | STATUS = 3 | DATA = 05/10/2017 15:14 | MOTIVO_CANCELAMENTO = 
