04/05/2016 14:17 - CHRISTIANO | USUARIO = 11570 | CI = 15769 | STATUS = 3 | DATA = 04/05/2016 14:17 | MOTIVO_CANCELAMENTO = 
04/05/2016 14:17 - DOUGLAS | USUARIO = 11530 | CI = 15769 | STATUS = 3 | DATA = 04/05/2016 14:17 | MOTIVO_CANCELAMENTO = 
04/05/2016 14:17 - DOUGLAS | USUARIO = 11530 | CI = 15761 | STATUS = 3 | DATA = 04/05/2016 14:17 | MOTIVO_CANCELAMENTO = 
04/05/2016 14:18 - DOUGLAS | USUARIO = 11530 | CI = 15759 | STATUS = 3 | DATA = 04/05/2016 14:18 | MOTIVO_CANCELAMENTO = 
04/05/2016 14:29 - DORACI | USUARIO = 10886 | CI = 15772 | STATUS = 7 | DATA = 04/05/2016 14:29 | MOTIVO_CANCELAMENTO = 
04/05/2016 14:31 - DOUGLAS | USUARIO = 11530 | CI = 15772 | STATUS = 3 | DATA = 04/05/2016 14:31 | MOTIVO_CANCELAMENTO = 
04/05/2016 16:17 - CHRISTIANO | USUARIO = 11570 | CI = 15772 | STATUS = 3 | DATA = 04/05/2016 16:17 | MOTIVO_CANCELAMENTO = 
04/05/2016 16:44 - ACIR | USUARIO = 10839 | CI = 15763 | STATUS = 3 | DATA = 04/05/2016 16:44 | MOTIVO_CANCELAMENTO = 
04/05/2016 16:44 - ACIR | USUARIO = 10839 | CI = 15732 | STATUS = 3 | DATA = 04/05/2016 16:44 | MOTIVO_CANCELAMENTO = 
04/05/2016 16:47 - MARCELOGODOI | USUARIO = 11316 | CI = 15765 | STATUS = 7 | DATA = 04/05/2016 16:47 | MOTIVO_CANCELAMENTO = 
04/05/2016 17:08 - ZEZE | USUARIO = 10931 | CI = 15780 | STATUS = 3 | DATA = 04/05/2016 17:08 | MOTIVO_CANCELAMENTO = 
05/05/2016 09:08 - MARCELOGODOI | USUARIO = 11316 | CI = 15782 | STATUS = 7 | DATA = 05/05/2016 9:08 | MOTIVO_CANCELAMENTO = Nesse processo houve, por parte do nosso RH a elaboração de cálculos preliminares e o montante apurado (que possivelmente perderíamos) atingiu algo em torno de 38.000.
No entanto, o acordo foi fechado por 18.000.
05/05/2016 09:17 - CARACIOLO | USUARIO = 10840 | CI = 15783 | STATUS = 3 | DATA = 05/05/2016 9:17 | MOTIVO_CANCELAMENTO = A presente coleta é a ultima referente ao contrato 454/15, pedido de compras n. º 186709.
05/05/2016 09:47 - JT | USUARIO = 10823 | CI = 15744 | STATUS = 3 | DATA = 05/05/2016 9:47 | MOTIVO_CANCELAMENTO = 
05/05/2016 09:47 - JT | USUARIO = 10823 | CI = 15754 | STATUS = 7 | DATA = 05/05/2016 9:47 | MOTIVO_CANCELAMENTO = 
05/05/2016 09:47 - JT | USUARIO = 10823 | CI = 15754 | STATUS = 3 | DATA = 05/05/2016 9:47 | MOTIVO_CANCELAMENTO = 
05/05/2016 09:48 - JT | USUARIO = 10823 | CI = 15745 | STATUS = 3 | DATA = 05/05/2016 9:48 | MOTIVO_CANCELAMENTO = 
05/05/2016 09:48 - JT | USUARIO = 10823 | CI = 15768 | STATUS = 7 | DATA = 05/05/2016 9:48 | MOTIVO_CANCELAMENTO = 
05/05/2016 09:48 - JT | USUARIO = 10823 | CI = 15768 | STATUS = 3 | DATA = 05/05/2016 9:48 | MOTIVO_CANCELAMENTO = 
05/05/2016 09:48 - JT | USUARIO = 10823 | CI = 15770 | STATUS = 7 | DATA = 05/05/2016 9:48 | MOTIVO_CANCELAMENTO = 
05/05/2016 10:11 - LUIDE | USUARIO = 10836 | CI = 15719 | STATUS = 3 | DATA = 05/05/2016 10:11 | MOTIVO_CANCELAMENTO = 
05/05/2016 10:11 - LUIDE | USUARIO = 10836 | CI = 15776 | STATUS = 7 | DATA = 05/05/2016 10:11 | MOTIVO_CANCELAMENTO = 
05/05/2016 10:11 - LUIDE | USUARIO = 10836 | CI = 15777 | STATUS = 7 | DATA = 05/05/2016 10:11 | MOTIVO_CANCELAMENTO = 
05/05/2016 10:11 - LUIDE | USUARIO = 10836 | CI = 15777 | STATUS = 3 | DATA = 05/05/2016 10:11 | MOTIVO_CANCELAMENTO = 
05/05/2016 10:11 - LUIDE | USUARIO = 10836 | CI = 15779 | STATUS = 3 | DATA = 05/05/2016 10:11 | MOTIVO_CANCELAMENTO = 
05/05/2016 11:00 - DORACI | USUARIO = 10886 | CI = 15784 | STATUS = 7 | DATA = 05/05/2016 11:00 | MOTIVO_CANCELAMENTO = 
05/05/2016 11:15 - DORACI | USUARIO = 10886 | CI = 15785 | STATUS = 7 | DATA = 05/05/2016 11:15 | MOTIVO_CANCELAMENTO = 
05/05/2016 11:30 - DOUGLAS | USUARIO = 11530 | CI = 15770 | STATUS = 3 | DATA = 05/05/2016 11:30 | MOTIVO_CANCELAMENTO = 
05/05/2016 11:30 - DOUGLAS | USUARIO = 11530 | CI = 15776 | STATUS = 3 | DATA = 05/05/2016 11:30 | MOTIVO_CANCELAMENTO = 
05/05/2016 11:30 - DOUGLAS | USUARIO = 11530 | CI = 15784 | STATUS = 3 | DATA = 05/05/2016 11:30 | MOTIVO_CANCELAMENTO = 
05/05/2016 11:30 - DOUGLAS | USUARIO = 11530 | CI = 15785 | STATUS = 3 | DATA = 05/05/2016 11:30 | MOTIVO_CANCELAMENTO = 
05/05/2016 11:46 - ACIR | USUARIO = 10839 | CI = 15781 | STATUS = 3 | DATA = 05/05/2016 11:46 | MOTIVO_CANCELAMENTO = 
05/05/2016 13:04 - SYLVIO | USUARIO = 10914 | CI = 15784 | STATUS = 3 | DATA = 05/05/2016 13:04 | MOTIVO_CANCELAMENTO = 
05/05/2016 13:04 - SYLVIO | USUARIO = 10914 | CI = 15785 | STATUS = 3 | DATA = 05/05/2016 13:04 | MOTIVO_CANCELAMENTO = 
05/05/2016 13:05 - CHRISTIANO | USUARIO = 11570 | CI = 15765 | STATUS = 3 | DATA = 05/05/2016 13:05 | MOTIVO_CANCELAMENTO = 
05/05/2016 13:05 - CHRISTIANO | USUARIO = 11570 | CI = 15770 | STATUS = 3 | DATA = 05/05/2016 13:05 | MOTIVO_CANCELAMENTO = 
05/05/2016 13:06 - CHRISTIANO | USUARIO = 11570 | CI = 15782 | STATUS = 3 | DATA = 05/05/2016 13:06 | MOTIVO_CANCELAMENTO = 
05/05/2016 13:06 - SYLVIO | USUARIO = 10914 | CI = 15770 | STATUS = 3 | DATA = 05/05/2016 13:06 | MOTIVO_CANCELAMENTO = 
05/05/2016 13:34 - FERNANDO | USUARIO = 10842 | CI = 15770 | STATUS = 3 | DATA = 05/05/2016 13:34 | MOTIVO_CANCELAMENTO = 
