02/12/2016 10:52 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 02/12/2016 10:52
02/12/2016 11:06 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/12/2016 11:06
02/12/2016 11:13 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/12/2016 11:13
02/12/2016 11:22 - DENISESANTOS | ID_USUARIO = 11300 | DATA_LOGIN = 02/12/2016 11:22
02/12/2016 11:38 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/12/2016 11:38
02/12/2016 11:41 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/12/2016 11:41
02/12/2016 12:10 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/12/2016 12:10
02/12/2016 12:17 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/12/2016 12:17
02/12/2016 12:51 - SONARAPIASSI | ID_USUARIO = 494 | DATA_LOGIN = 02/12/2016 12:51
02/12/2016 13:03 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 02/12/2016 13:03
02/12/2016 13:07 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/12/2016 13:07
02/12/2016 13:14 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/12/2016 13:14
02/12/2016 13:19 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/12/2016 13:19
02/12/2016 13:26 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 02/12/2016 13:26
02/12/2016 13:32 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/12/2016 13:32
02/12/2016 13:37 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 02/12/2016 13:37
02/12/2016 13:39 - DENISESANTOS | ID_USUARIO = 11300 | DATA_LOGIN = 02/12/2016 13:39
02/12/2016 13:44 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/12/2016 13:44
02/12/2016 13:50 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/12/2016 13:50
02/12/2016 13:59 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/12/2016 13:59
02/12/2016 14:11 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/12/2016 14:11
02/12/2016 14:20 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/12/2016 14:20
02/12/2016 14:33 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/12/2016 14:33
02/12/2016 14:36 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/12/2016 14:36
02/12/2016 14:41 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 02/12/2016 14:41
02/12/2016 14:43 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 02/12/2016 14:43
02/12/2016 14:47 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/12/2016 14:47
02/12/2016 14:50 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/12/2016 14:50
02/12/2016 14:58 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/12/2016 14:58
02/12/2016 15:00 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/12/2016 15:00
02/12/2016 15:12 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 02/12/2016 15:12
02/12/2016 15:12 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 02/12/2016 15:12
02/12/2016 15:14 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/12/2016 15:14
02/12/2016 15:28 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/12/2016 15:28
02/12/2016 15:34 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/12/2016 15:34
02/12/2016 15:36 - LARISSALIMA | ID_USUARIO = 11534 | DATA_LOGIN = 02/12/2016 15:36
02/12/2016 15:41 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/12/2016 15:41
02/12/2016 15:41 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 02/12/2016 15:41
02/12/2016 15:46 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 02/12/2016 15:46
02/12/2016 15:46 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/12/2016 15:46
02/12/2016 15:48 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/12/2016 15:48
02/12/2016 16:03 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/12/2016 16:03
02/12/2016 16:07 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/12/2016 16:07
02/12/2016 16:46 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/12/2016 16:46
02/12/2016 16:47 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 02/12/2016 16:47
02/12/2016 16:58 - AMADEUBOVI | ID_USUARIO = 6888 | DATA_LOGIN = 02/12/2016 16:58
02/12/2016 17:49 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 02/12/2016 17:49
02/12/2016 17:52 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 02/12/2016 17:52
02/12/2016 20:32 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/12/2016 20:32
02/12/2016 21:18 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/12/2016 21:18
03/12/2016 07:11 - SONARAPIASSI | ID_USUARIO = 494 | DATA_LOGIN = 03/12/2016 7:11
03/12/2016 07:47 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/12/2016 7:47
04/12/2016 08:23 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 04/12/2016 8:23
04/12/2016 08:44 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 04/12/2016 8:44
04/12/2016 13:14 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/12/2016 13:14
04/12/2016 13:29 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/12/2016 13:29
05/12/2016 07:14 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/12/2016 7:14
05/12/2016 07:21 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/12/2016 7:21
05/12/2016 07:21 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/12/2016 7:21
05/12/2016 07:23 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 05/12/2016 7:23
05/12/2016 07:27 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/12/2016 7:27
05/12/2016 07:31 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/12/2016 7:31
05/12/2016 07:32 - MATHEUSDELANEZA | ID_USUARIO = 6900 | DATA_LOGIN = 05/12/2016 7:32
05/12/2016 07:54 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/12/2016 7:54
05/12/2016 07:55 - WILLIANSIQUEIRA | ID_USUARIO = 11254 | DATA_LOGIN = 05/12/2016 7:55
05/12/2016 08:08 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 05/12/2016 8:08
05/12/2016 08:20 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 05/12/2016 8:20
05/12/2016 08:22 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/12/2016 8:22
05/12/2016 08:26 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/12/2016 8:26
05/12/2016 08:27 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 05/12/2016 8:27
05/12/2016 08:49 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/12/2016 8:49
05/12/2016 09:02 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 05/12/2016 9:02
05/12/2016 09:08 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/12/2016 9:08
05/12/2016 09:28 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/12/2016 9:28
05/12/2016 09:29 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 05/12/2016 9:29
05/12/2016 09:38 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/12/2016 9:38
05/12/2016 09:40 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 05/12/2016 9:40
05/12/2016 09:45 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/12/2016 9:45
05/12/2016 09:51 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/12/2016 9:51
05/12/2016 09:57 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/12/2016 9:57
05/12/2016 09:58 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/12/2016 9:58
05/12/2016 10:00 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/12/2016 10:00
05/12/2016 10:00 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/12/2016 10:00
05/12/2016 10:01 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/12/2016 10:01
05/12/2016 10:01 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 05/12/2016 10:01
05/12/2016 10:03 - WILLIANSIQUEIRA | ID_USUARIO = 11254 | DATA_LOGIN = 05/12/2016 10:03
05/12/2016 10:14 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/12/2016 10:14
05/12/2016 10:15 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/12/2016 10:15
05/12/2016 10:29 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/12/2016 10:29
05/12/2016 10:44 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/12/2016 10:44
05/12/2016 10:57 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 05/12/2016 10:57
05/12/2016 11:00 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/12/2016 11:00
05/12/2016 11:18 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/12/2016 11:18
05/12/2016 11:20 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 05/12/2016 11:20
05/12/2016 11:21 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/12/2016 11:21
05/12/2016 11:30 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 05/12/2016 11:30
05/12/2016 11:37 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 05/12/2016 11:37
05/12/2016 11:41 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/12/2016 11:41
05/12/2016 11:49 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 05/12/2016 11:49
05/12/2016 12:34 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 05/12/2016 12:34
05/12/2016 13:04 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/12/2016 13:04
05/12/2016 13:09 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/12/2016 13:09
05/12/2016 13:11 - VELOSA | ID_USUARIO = 10889 | DATA_LOGIN = 05/12/2016 13:11
05/12/2016 13:16 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/12/2016 13:16
05/12/2016 13:23 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/12/2016 13:23
05/12/2016 13:25 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/12/2016 13:25
05/12/2016 13:31 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/12/2016 13:31
05/12/2016 13:35 - VELOSA | ID_USUARIO = 10889 | DATA_LOGIN = 05/12/2016 13:35
05/12/2016 13:35 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/12/2016 13:35
05/12/2016 13:50 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/12/2016 13:50
05/12/2016 13:51 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 05/12/2016 13:51
05/12/2016 14:03 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/12/2016 14:03
05/12/2016 14:03 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/12/2016 14:03
05/12/2016 14:17 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/12/2016 14:17
05/12/2016 14:24 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/12/2016 14:24
05/12/2016 14:33 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/12/2016 14:33
05/12/2016 14:38 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/12/2016 14:38
05/12/2016 14:42 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/12/2016 14:42
05/12/2016 14:59 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/12/2016 14:59
05/12/2016 15:06 - TAMARAABONIZIO | ID_USUARIO = 461 | DATA_LOGIN = 05/12/2016 15:06
05/12/2016 15:28 - VELOSA | ID_USUARIO = 10889 | DATA_LOGIN = 05/12/2016 15:28
05/12/2016 15:32 - TAMARAABONIZIO | ID_USUARIO = 461 | DATA_LOGIN = 05/12/2016 15:32
05/12/2016 15:42 - CARLOTRALLI | ID_USUARIO = 11233 | DATA_LOGIN = 05/12/2016 15:42
05/12/2016 15:43 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/12/2016 15:43
05/12/2016 15:45 - DONIZETE | ID_USUARIO = 10980 | DATA_LOGIN = 05/12/2016 15:45
05/12/2016 15:46 - CASSIANOFELIPE | ID_USUARIO = 11149 | DATA_LOGIN = 05/12/2016 15:46
05/12/2016 15:52 - TAMARAABONIZIO | ID_USUARIO = 461 | DATA_LOGIN = 05/12/2016 15:52
05/12/2016 15:59 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 05/12/2016 15:59
05/12/2016 16:04 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/12/2016 16:04
05/12/2016 16:10 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 05/12/2016 16:10
05/12/2016 16:12 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 05/12/2016 16:12
05/12/2016 16:32 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/12/2016 16:32
05/12/2016 16:32 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/12/2016 16:32
05/12/2016 16:40 - CARLOTRALLI | ID_USUARIO = 11233 | DATA_LOGIN = 05/12/2016 16:40
05/12/2016 17:47 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 05/12/2016 17:47
05/12/2016 17:56 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 05/12/2016 17:56
05/12/2016 21:15 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 05/12/2016 21:15
