02/10/2015 13:32 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 02/10/2015 13:32
02/10/2015 15:18 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/10/2015 15:18
02/10/2015 15:42 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 02/10/2015 15:42
02/10/2015 15:50 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/10/2015 15:50
02/10/2015 16:02 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 02/10/2015 16:02
02/10/2015 16:16 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/10/2015 16:16
02/10/2015 16:38 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/10/2015 16:38
02/10/2015 16:41 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/10/2015 16:41
02/10/2015 16:43 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 02/10/2015 16:43
02/10/2015 16:48 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/10/2015 16:48
02/10/2015 17:58 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/10/2015 17:58
03/10/2015 07:45 - CAIOBUFARAH | ID_USUARIO = 11312 | DATA_LOGIN = 03/10/2015 7:45
03/10/2015 08:51 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2015 8:51
03/10/2015 09:03 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/10/2015 9:03
03/10/2015 09:25 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 03/10/2015 9:25
03/10/2015 10:04 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 03/10/2015 10:04
03/10/2015 10:16 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2015 10:16
03/10/2015 12:03 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 03/10/2015 12:03
03/10/2015 12:04 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 03/10/2015 12:04
04/10/2015 08:41 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2015 8:41
04/10/2015 10:28 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2015 10:28
05/10/2015 06:08 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/10/2015 6:08
05/10/2015 07:24 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/10/2015 7:24
05/10/2015 07:25 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/10/2015 7:25
05/10/2015 07:28 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/10/2015 7:28
05/10/2015 07:30 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/10/2015 7:30
05/10/2015 07:30 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/10/2015 7:30
05/10/2015 07:39 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 05/10/2015 7:39
05/10/2015 07:39 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/10/2015 7:39
05/10/2015 07:50 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/10/2015 7:50
05/10/2015 08:16 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/10/2015 8:16
05/10/2015 08:37 - GMONTREZOR | ID_USUARIO = 11164 | DATA_LOGIN = 05/10/2015 8:37
05/10/2015 09:06 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 05/10/2015 9:06
05/10/2015 09:36 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 05/10/2015 9:36
05/10/2015 09:42 - CRISTIANOALVES | ID_USUARIO = 11226 | DATA_LOGIN = 05/10/2015 9:42
05/10/2015 09:49 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/10/2015 9:49
05/10/2015 09:50 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/10/2015 9:50
05/10/2015 09:51 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/10/2015 9:51
05/10/2015 10:18 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 05/10/2015 10:18
05/10/2015 10:36 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 05/10/2015 10:36
05/10/2015 10:36 - EDUARDO | ID_USUARIO = 10844 | DATA_LOGIN = 05/10/2015 10:36
05/10/2015 10:41 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 05/10/2015 10:41
05/10/2015 10:42 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/10/2015 10:42
05/10/2015 10:49 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 05/10/2015 10:49
05/10/2015 10:51 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 05/10/2015 10:51
05/10/2015 10:51 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/10/2015 10:51
05/10/2015 11:01 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/10/2015 11:01
05/10/2015 11:17 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 05/10/2015 11:17
05/10/2015 11:23 - CRISTIANOALVES | ID_USUARIO = 11226 | DATA_LOGIN = 05/10/2015 11:23
