11/07/2018 16:11 - HEBERTLUCIO | USUARIO = 11635 | CI = 24858 | STATUS = 3 | DATA = 11/07/2018 16:11 | MOTIVO_CANCELAMENTO = 
11/07/2018 16:11 - HEBERTLUCIO | USUARIO = 11635 | CI = 24864 | STATUS = 3 | DATA = 11/07/2018 16:11 | MOTIVO_CANCELAMENTO = 
11/07/2018 17:27 - JOAOROGANTE | USUARIO = 6966 | CI = 24817 | STATUS = 3 | DATA = 11/07/2018 17:27 | MOTIVO_CANCELAMENTO = Para buscar a bomba de injeção de fertilizantes do sistema de gotejamento que estava em manutenção na cidade de Sorocaba.
11/07/2018 17:28 - JOAOROGANTE | USUARIO = 6966 | CI = 24866 | STATUS = 7 | DATA = 11/07/2018 17:28 | MOTIVO_CANCELAMENTO = Para atendimento a NR 31. De acordo com a identificação feita na Inspeção Semanal de Segurança.
11/07/2018 17:28 - JOAOROGANTE | USUARIO = 6966 | CI = 24866 | STATUS = 3 | DATA = 11/07/2018 17:28 | MOTIVO_CANCELAMENTO = Para atendimento a NR 31. De acordo com a identificação feita na Inspeção Semanal de Segurança.
12/07/2018 08:06 - OTAVIOGIRO | USUARIO = 526 | CI = 24815 | STATUS = 5 | DATA = 12/07/2018 8:06 | MOTIVO_CANCELAMENTO = Alteração de valores
12/07/2018 08:28 - AREIAS | USUARIO = 10997 | CI = 24870 | STATUS = 7 | DATA = 12/07/2018 8:28 | MOTIVO_CANCELAMENTO = 
12/07/2018 08:29 - AREIAS | USUARIO = 10997 | CI = 24872 | STATUS = 7 | DATA = 12/07/2018 8:29 | MOTIVO_CANCELAMENTO = 
12/07/2018 08:29 - AREIAS | USUARIO = 10997 | CI = 24872 | STATUS = 3 | DATA = 12/07/2018 8:29 | MOTIVO_CANCELAMENTO = 
12/07/2018 08:34 - MARTA | USUARIO = 10847 | CI = 24871 | STATUS = 3 | DATA = 12/07/2018 8:34 | MOTIVO_CANCELAMENTO = aprovado.
12/07/2018 17:06 - TADEUMACHADO | USUARIO = 11594 | CI = 24875 | STATUS = 3 | DATA = 12/07/2018 17:06 | MOTIVO_CANCELAMENTO = 
12/07/2018 17:20 - DOUGLAS | USUARIO = 11530 | CI = 24873 | STATUS = 7 | DATA = 12/07/2018 17:20 | MOTIVO_CANCELAMENTO = 
12/07/2018 17:20 - DOUGLAS | USUARIO = 11530 | CI = 24873 | STATUS = 3 | DATA = 12/07/2018 17:20 | MOTIVO_CANCELAMENTO = 
13/07/2018 07:59 - CAMARA | USUARIO = 10841 | CI = 24877 | STATUS = 3 | DATA = 13/07/2018 7:59 | MOTIVO_CANCELAMENTO = 
13/07/2018 08:03 - MARTA | USUARIO = 10847 | CI = 24868 | STATUS = 3 | DATA = 13/07/2018 8:03 | MOTIVO_CANCELAMENTO = aprovado.
13/07/2018 08:51 - TADEUMACHADO | USUARIO = 11594 | CI = 24882 | STATUS = 3 | DATA = 13/07/2018 8:51 | MOTIVO_CANCELAMENTO = 
13/07/2018 10:01 - ZEZE | USUARIO = 10931 | CI = 24869 | STATUS = 3 | DATA = 13/07/2018 10:01 | MOTIVO_CANCELAMENTO = 
13/07/2018 10:02 - ZEZE | USUARIO = 10931 | CI = 24876 | STATUS = 7 | DATA = 13/07/2018 10:02 | MOTIVO_CANCELAMENTO = 
13/07/2018 10:02 - ZEZE | USUARIO = 10931 | CI = 24876 | STATUS = 3 | DATA = 13/07/2018 10:02 | MOTIVO_CANCELAMENTO = 
13/07/2018 10:02 - ZEZE | USUARIO = 10931 | CI = 24879 | STATUS = 7 | DATA = 13/07/2018 10:02 | MOTIVO_CANCELAMENTO = 
13/07/2018 10:02 - ZEZE | USUARIO = 10931 | CI = 24879 | STATUS = 3 | DATA = 13/07/2018 10:02 | MOTIVO_CANCELAMENTO = 
13/07/2018 10:03 - ZEZE | USUARIO = 10931 | CI = 24880 | STATUS = 7 | DATA = 13/07/2018 10:03 | MOTIVO_CANCELAMENTO = 
13/07/2018 10:03 - ZEZE | USUARIO = 10931 | CI = 24880 | STATUS = 3 | DATA = 13/07/2018 10:03 | MOTIVO_CANCELAMENTO = 
13/07/2018 10:03 - ZEZE | USUARIO = 10931 | CI = 24881 | STATUS = 7 | DATA = 13/07/2018 10:03 | MOTIVO_CANCELAMENTO = 
13/07/2018 10:03 - ZEZE | USUARIO = 10931 | CI = 24881 | STATUS = 3 | DATA = 13/07/2018 10:03 | MOTIVO_CANCELAMENTO = 
13/07/2018 10:23 - AREIAS | USUARIO = 10997 | CI = 24878 | STATUS = 7 | DATA = 13/07/2018 10:23 | MOTIVO_CANCELAMENTO = 
13/07/2018 10:24 - AREIAS | USUARIO = 10997 | CI = 24883 | STATUS = 3 | DATA = 13/07/2018 10:24 | MOTIVO_CANCELAMENTO = 
13/07/2018 11:03 - AREIAS | USUARIO = 10997 | CI = 24885 | STATUS = 3 | DATA = 13/07/2018 11:03 | MOTIVO_CANCELAMENTO = 
13/07/2018 13:30 - CAMARA | USUARIO = 10841 | CI = 24886 | STATUS = 3 | DATA = 13/07/2018 13:30 | MOTIVO_CANCELAMENTO = 
13/07/2018 16:09 - THIAGO | USUARIO = 10892 | CI = 24888 | STATUS = 3 | DATA = 13/07/2018 16:09 | MOTIVO_CANCELAMENTO = 
13/07/2018 16:54 - TADEUMACHADO | USUARIO = 11594 | CI = 24889 | STATUS = 7 | DATA = 13/07/2018 16:54 | MOTIVO_CANCELAMENTO = 
13/07/2018 16:54 - TADEUMACHADO | USUARIO = 11594 | CI = 24889 | STATUS = 3 | DATA = 13/07/2018 16:54 | MOTIVO_CANCELAMENTO = 
14/07/2018 09:52 - JT | USUARIO = 10823 | CI = 24878 | STATUS = 3 | DATA = 14/07/2018 9:52 | MOTIVO_CANCELAMENTO = 
14/07/2018 09:52 - JT | USUARIO = 10823 | CI = 24890 | STATUS = 7 | DATA = 14/07/2018 9:52 | MOTIVO_CANCELAMENTO = 
14/07/2018 09:52 - JT | USUARIO = 10823 | CI = 24891 | STATUS = 7 | DATA = 14/07/2018 9:52 | MOTIVO_CANCELAMENTO = 
14/07/2018 09:52 - JT | USUARIO = 10823 | CI = 24891 | STATUS = 3 | DATA = 14/07/2018 9:52 | MOTIVO_CANCELAMENTO = 
16/07/2018 08:21 - MARCIO | USUARIO = 10850 | CI = 24892 | STATUS = 3 | DATA = 16/07/2018 8:21 | MOTIVO_CANCELAMENTO = 
16/07/2018 09:14 - LUIDE | USUARIO = 10836 | CI = 24893 | STATUS = 7 | DATA = 16/07/2018 9:14 | MOTIVO_CANCELAMENTO = 
16/07/2018 09:14 - LUIDE | USUARIO = 10836 | CI = 24894 | STATUS = 7 | DATA = 16/07/2018 9:14 | MOTIVO_CANCELAMENTO = 
16/07/2018 10:18 - ZEZE | USUARIO = 10931 | CI = 24884 | STATUS = 3 | DATA = 16/07/2018 10:18 | MOTIVO_CANCELAMENTO = 
16/07/2018 10:19 - ZEZE | USUARIO = 10931 | CI = 24898 | STATUS = 3 | DATA = 16/07/2018 10:19 | MOTIVO_CANCELAMENTO = 
16/07/2018 12:18 - MARCIO | USUARIO = 10850 | CI = 24899 | STATUS = 3 | DATA = 16/07/2018 12:18 | MOTIVO_CANCELAMENTO = 
16/07/2018 13:16 - CAMARA | USUARIO = 10841 | CI = 24900 | STATUS = 3 | DATA = 16/07/2018 13:16 | MOTIVO_CANCELAMENTO = 
16/07/2018 15:15 - HEBERTLUCIO | USUARIO = 11635 | CI = 24874 | STATUS = 3 | DATA = 16/07/2018 15:15 | MOTIVO_CANCELAMENTO = 
16/07/2018 15:15 - HEBERTLUCIO | USUARIO = 11635 | CI = 24887 | STATUS = 3 | DATA = 16/07/2018 15:15 | MOTIVO_CANCELAMENTO = 
16/07/2018 15:16 - HEBERTLUCIO | USUARIO = 11635 | CI = 24901 | STATUS = 3 | DATA = 16/07/2018 15:16 | MOTIVO_CANCELAMENTO = 
17/07/2018 08:24 - JT | USUARIO = 10823 | CI = 24904 | STATUS = 7 | DATA = 17/07/2018 8:24 | MOTIVO_CANCELAMENTO = 
17/07/2018 08:24 - JT | USUARIO = 10823 | CI = 24904 | STATUS = 3 | DATA = 17/07/2018 8:24 | MOTIVO_CANCELAMENTO = 
17/07/2018 08:32 - DOUGLAS | USUARIO = 11530 | CI = 24893 | STATUS = 3 | DATA = 17/07/2018 8:32 | MOTIVO_CANCELAMENTO = 
17/07/2018 08:32 - DOUGLAS | USUARIO = 11530 | CI = 24894 | STATUS = 3 | DATA = 17/07/2018 8:32 | MOTIVO_CANCELAMENTO = 
17/07/2018 09:23 - AREIAS | USUARIO = 10997 | CI = 24890 | STATUS = 3 | DATA = 17/07/2018 9:23 | MOTIVO_CANCELAMENTO = 
17/07/2018 09:24 - AREIAS | USUARIO = 10997 | CI = 24895 | STATUS = 7 | DATA = 17/07/2018 9:24 | MOTIVO_CANCELAMENTO = 
17/07/2018 09:24 - AREIAS | USUARIO = 10997 | CI = 24896 | STATUS = 7 | DATA = 17/07/2018 9:24 | MOTIVO_CANCELAMENTO = 
17/07/2018 09:24 - AREIAS | USUARIO = 10997 | CI = 24897 | STATUS = 7 | DATA = 17/07/2018 9:24 | MOTIVO_CANCELAMENTO = 
