05/09/2017 09:54 - AMADEUBOVI | USUARIO = 6888 | CI = 21871 | STATUS = 3 | DATA = 05/09/2017 9:54 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:12 - HEBERTLUCIO | USUARIO = 11635 | CI = 21776 | STATUS = 3 | DATA = 05/09/2017 10:12 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:12 - HEBERTLUCIO | USUARIO = 11635 | CI = 21785 | STATUS = 3 | DATA = 05/09/2017 10:12 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:12 - HEBERTLUCIO | USUARIO = 11635 | CI = 21786 | STATUS = 3 | DATA = 05/09/2017 10:12 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:13 - HEBERTLUCIO | USUARIO = 11635 | CI = 21797 | STATUS = 3 | DATA = 05/09/2017 10:13 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:13 - HEBERTLUCIO | USUARIO = 11635 | CI = 21823 | STATUS = 3 | DATA = 05/09/2017 10:13 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:13 - HEBERTLUCIO | USUARIO = 11635 | CI = 21827 | STATUS = 3 | DATA = 05/09/2017 10:13 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:13 - HEBERTLUCIO | USUARIO = 11635 | CI = 21847 | STATUS = 3 | DATA = 05/09/2017 10:13 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:24 - SYLVIO | USUARIO = 10914 | CI = 21868 | STATUS = 3 | DATA = 05/09/2017 10:24 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:24 - SYLVIO | USUARIO = 10914 | CI = 21752 | STATUS = 3 | DATA = 05/09/2017 10:24 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:26 - MARCELOGODOI | USUARIO = 11316 | CI = 21844 | STATUS = 7 | DATA = 05/09/2017 10:26 | MOTIVO_CANCELAMENTO = 
