02/03/2016 15:51 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/03/2016 15:51
02/03/2016 15:54 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/03/2016 15:54
02/03/2016 15:59 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 02/03/2016 15:59
02/03/2016 16:10 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 02/03/2016 16:10
02/03/2016 16:51 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2016 16:51
02/03/2016 17:10 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 02/03/2016 17:10
02/03/2016 17:14 - ROSEMEIRESGOTI | ID_USUARIO = 11307 | DATA_LOGIN = 02/03/2016 17:14
02/03/2016 17:30 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 02/03/2016 17:30
02/03/2016 17:34 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 02/03/2016 17:34
02/03/2016 18:06 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/03/2016 18:06
02/03/2016 19:00 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2016 19:00
02/03/2016 20:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2016 20:11
03/03/2016 05:43 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/03/2016 5:43
03/03/2016 07:10 - ANGELO | ID_USUARIO = 10969 | DATA_LOGIN = 03/03/2016 7:10
03/03/2016 07:10 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/03/2016 7:10
03/03/2016 07:15 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/03/2016 7:15
03/03/2016 07:19 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/03/2016 7:19
03/03/2016 07:19 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/03/2016 7:19
03/03/2016 07:23 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 03/03/2016 7:23
03/03/2016 07:23 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 03/03/2016 7:23
03/03/2016 07:29 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/03/2016 7:29
03/03/2016 07:33 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/03/2016 7:33
03/03/2016 07:38 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/03/2016 7:38
03/03/2016 07:42 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/03/2016 7:42
03/03/2016 07:46 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 03/03/2016 7:46
03/03/2016 07:46 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 03/03/2016 7:46
03/03/2016 07:50 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 03/03/2016 7:50
03/03/2016 07:50 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 03/03/2016 7:50
03/03/2016 07:55 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 03/03/2016 7:55
03/03/2016 08:17 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/03/2016 8:17
03/03/2016 08:23 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/03/2016 8:23
03/03/2016 08:24 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 03/03/2016 8:24
03/03/2016 08:37 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 03/03/2016 8:37
03/03/2016 08:50 - TATIANEPASSADOR | ID_USUARIO = 11350 | DATA_LOGIN = 03/03/2016 8:50
03/03/2016 08:52 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/03/2016 8:52
03/03/2016 08:52 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 03/03/2016 8:52
03/03/2016 09:00 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 03/03/2016 9:00
03/03/2016 09:00 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 03/03/2016 9:00
03/03/2016 09:00 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 03/03/2016 9:00
03/03/2016 09:01 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 03/03/2016 9:01
03/03/2016 09:01 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 03/03/2016 9:01
03/03/2016 09:19 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 03/03/2016 9:19
03/03/2016 09:20 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 03/03/2016 9:20
03/03/2016 09:20 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 03/03/2016 9:20
03/03/2016 09:23 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 03/03/2016 9:23
03/03/2016 09:24 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/03/2016 9:24
03/03/2016 09:30 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 03/03/2016 9:30
03/03/2016 09:39 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/03/2016 9:39
03/03/2016 09:56 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 03/03/2016 9:56
03/03/2016 10:42 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/03/2016 10:42
03/03/2016 10:43 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 03/03/2016 10:43
03/03/2016 10:50 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/03/2016 10:50
03/03/2016 10:53 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 03/03/2016 10:53
03/03/2016 11:08 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/03/2016 11:08
03/03/2016 11:15 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/03/2016 11:15
