05/10/2015 15:38 - TOM | USUARIO = 10831 | CI = 13441 | STATUS = 3 | DATA = 05/10/2015 15:38 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:40 - TOM | USUARIO = 10831 | CI = 13447 | STATUS = 7 | DATA = 05/10/2015 15:40 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:40 - TOM | USUARIO = 10831 | CI = 13447 | STATUS = 3 | DATA = 05/10/2015 15:40 | MOTIVO_CANCELAMENTO = 
05/10/2015 15:40 - TOM | USUARIO = 10831 | CI = 13442 | STATUS = 7 | DATA = 05/10/2015 15:40 | MOTIVO_CANCELAMENTO = 
05/10/2015 16:23 - ACIR | USUARIO = 10839 | CI = 13448 | STATUS = 3 | DATA = 05/10/2015 16:23 | MOTIVO_CANCELAMENTO = 
05/10/2015 16:37 - DORACI | USUARIO = 10886 | CI = 13451 | STATUS = 7 | DATA = 05/10/2015 16:37 | MOTIVO_CANCELAMENTO = 
05/10/2015 16:37 - DORACI | USUARIO = 10886 | CI = 13451 | STATUS = 3 | DATA = 05/10/2015 16:37 | MOTIVO_CANCELAMENTO = 
05/10/2015 22:31 - FERNANDO | USUARIO = 10842 | CI = 13450 | STATUS = 3 | DATA = 05/10/2015 22:31 | MOTIVO_CANCELAMENTO = 
05/10/2015 22:31 - FERNANDO | USUARIO = 10842 | CI = 13442 | STATUS = 3 | DATA = 05/10/2015 22:31 | MOTIVO_CANCELAMENTO = 
06/10/2015 08:00 - MARTA | USUARIO = 10847 | CI = 13454 | STATUS = 3 | DATA = 06/10/2015 8:00 | MOTIVO_CANCELAMENTO = aprovado.
06/10/2015 09:09 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13456 | STATUS = 7 | DATA = 06/10/2015 9:09 | MOTIVO_CANCELAMENTO = 
06/10/2015 09:09 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13456 | STATUS = 3 | DATA = 06/10/2015 9:09 | MOTIVO_CANCELAMENTO = 
06/10/2015 10:41 - JT | USUARIO = 10823 | CI = 13408 | STATUS = 7 | DATA = 06/10/2015 10:41 | MOTIVO_CANCELAMENTO = 
06/10/2015 10:42 - JT | USUARIO = 10823 | CI = 13462 | STATUS = 3 | DATA = 06/10/2015 10:42 | MOTIVO_CANCELAMENTO = 
06/10/2015 10:43 - JT | USUARIO = 10823 | CI = 13422 | STATUS = 7 | DATA = 06/10/2015 10:43 | MOTIVO_CANCELAMENTO = 
06/10/2015 10:43 - JT | USUARIO = 10823 | CI = 13439 | STATUS = 7 | DATA = 06/10/2015 10:43 | MOTIVO_CANCELAMENTO = 
06/10/2015 10:43 - JT | USUARIO = 10823 | CI = 13439 | STATUS = 3 | DATA = 06/10/2015 10:43 | MOTIVO_CANCELAMENTO = 
06/10/2015 10:44 - JT | USUARIO = 10823 | CI = 13452 | STATUS = 7 | DATA = 06/10/2015 10:44 | MOTIVO_CANCELAMENTO = 
06/10/2015 10:44 - JT | USUARIO = 10823 | CI = 13452 | STATUS = 3 | DATA = 06/10/2015 10:44 | MOTIVO_CANCELAMENTO = 
06/10/2015 11:16 - ZEZE | USUARIO = 10931 | CI = 13460 | STATUS = 7 | DATA = 06/10/2015 11:16 | MOTIVO_CANCELAMENTO = 
06/10/2015 11:16 - ZEZE | USUARIO = 10931 | CI = 13461 | STATUS = 7 | DATA = 06/10/2015 11:16 | MOTIVO_CANCELAMENTO = 
06/10/2015 11:16 - ZEZE | USUARIO = 10931 | CI = 13461 | STATUS = 3 | DATA = 06/10/2015 11:16 | MOTIVO_CANCELAMENTO = 
06/10/2015 11:37 - AREIAS | USUARIO = 10997 | CI = 13409 | STATUS = 7 | DATA = 06/10/2015 11:37 | MOTIVO_CANCELAMENTO = 
06/10/2015 11:37 - AREIAS | USUARIO = 10997 | CI = 13410 | STATUS = 7 | DATA = 06/10/2015 11:37 | MOTIVO_CANCELAMENTO = 
06/10/2015 11:37 - AREIAS | USUARIO = 10997 | CI = 13411 | STATUS = 7 | DATA = 06/10/2015 11:37 | MOTIVO_CANCELAMENTO = 
06/10/2015 11:38 - AREIAS | USUARIO = 10997 | CI = 13412 | STATUS = 7 | DATA = 06/10/2015 11:38 | MOTIVO_CANCELAMENTO = 
06/10/2015 11:40 - AREIAS | USUARIO = 10997 | CI = 13457 | STATUS = 7 | DATA = 06/10/2015 11:40 | MOTIVO_CANCELAMENTO = 
06/10/2015 11:40 - AREIAS | USUARIO = 10997 | CI = 13458 | STATUS = 7 | DATA = 06/10/2015 11:40 | MOTIVO_CANCELAMENTO = 
06/10/2015 11:41 - AREIAS | USUARIO = 10997 | CI = 13459 | STATUS = 7 | DATA = 06/10/2015 11:41 | MOTIVO_CANCELAMENTO = 
06/10/2015 11:56 - TOM | USUARIO = 10831 | CI = 13455 | STATUS = 7 | DATA = 06/10/2015 11:56 | MOTIVO_CANCELAMENTO = 
