02/04/2015 15:49 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/04/2015 15:49
02/04/2015 16:01 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/04/2015 16:01
02/04/2015 16:10 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/04/2015 16:10
02/04/2015 16:16 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/04/2015 16:16
02/04/2015 16:18 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/04/2015 16:18
02/04/2015 16:25 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/04/2015 16:25
02/04/2015 16:32 - CAIOBUFARAH | ID_USUARIO = 11312 | DATA_LOGIN = 02/04/2015 16:32
02/04/2015 16:43 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/04/2015 16:43
02/04/2015 16:43 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 02/04/2015 16:43
02/04/2015 16:44 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/04/2015 16:44
02/04/2015 16:44 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/04/2015 16:44
02/04/2015 16:58 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/04/2015 16:58
02/04/2015 18:06 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 02/04/2015 18:06
02/04/2015 18:08 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 02/04/2015 18:08
03/04/2015 08:36 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/04/2015 8:36
03/04/2015 18:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/04/2015 18:11
04/04/2015 07:23 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/04/2015 7:23
04/04/2015 09:02 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/04/2015 9:02
04/04/2015 09:15 - GREGORIO | ID_USUARIO = 10828 | DATA_LOGIN = 04/04/2015 9:15
04/04/2015 10:18 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/04/2015 10:18
