02/05/2018 09:08 - TADEUMACHADO | USUARIO = 11594 | CI = 24441 | STATUS = 3 | DATA = 02/05/2018 9:08 | MOTIVO_CANCELAMENTO = Bom dia! Conforme alinhado com os Srs. Alexandre e Patrick, não será mais permitida a entrega nas dependências da Usina Santa Fé, prestadores de serviço sem a devida apresentação dos documentos necessários. Esta notificação será válida para a KPMG a partir de 07/05/18.
11/05/2018 12:09 - ACIR | USUARIO = 10839 | CI = 24504 | STATUS = 7 | DATA = 11/05/2018 12:09 | MOTIVO_CANCELAMENTO = 
11/05/2018 13:37 - CAMARA | USUARIO = 10841 | CI = 24504 | STATUS = 3 | DATA = 11/05/2018 13:37 | MOTIVO_CANCELAMENTO = 
11/05/2018 13:37 - CAMARA | USUARIO = 10841 | CI = 24523 | STATUS = 3 | DATA = 11/05/2018 13:37 | MOTIVO_CANCELAMENTO = 
11/05/2018 14:03 - JT | USUARIO = 10823 | CI = 24530 | STATUS = 7 | DATA = 11/05/2018 14:03 | MOTIVO_CANCELAMENTO = 
11/05/2018 14:03 - JT | USUARIO = 10823 | CI = 24530 | STATUS = 3 | DATA = 11/05/2018 14:03 | MOTIVO_CANCELAMENTO = 
12/05/2018 08:34 - MARCIO | USUARIO = 10850 | CI = 24534 | STATUS = 3 | DATA = 12/05/2018 8:34 | MOTIVO_CANCELAMENTO = 
14/05/2018 08:21 - OSNY | USUARIO = 10826 | CI = 24517 | STATUS = 7 | DATA = 14/05/2018 8:20 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:14 - TADEUMACHADO | USUARIO = 11594 | CI = 24535 | STATUS = 3 | DATA = 14/05/2018 10:14 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:23 - DOUGLAS | USUARIO = 11530 | CI = 24517 | STATUS = 3 | DATA = 14/05/2018 10:23 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:30 - HEBERTLUCIO | USUARIO = 11635 | CI = 24527 | STATUS = 3 | DATA = 14/05/2018 10:30 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:31 - HEBERTLUCIO | USUARIO = 11635 | CI = 24529 | STATUS = 3 | DATA = 14/05/2018 10:31 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:31 - HEBERTLUCIO | USUARIO = 11635 | CI = 24536 | STATUS = 3 | DATA = 14/05/2018 10:31 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:59 - AREIAS | USUARIO = 10997 | CI = 24531 | STATUS = 7 | DATA = 14/05/2018 10:59 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:59 - AREIAS | USUARIO = 10997 | CI = 24532 | STATUS = 7 | DATA = 14/05/2018 10:59 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:59 - AREIAS | USUARIO = 10997 | CI = 24533 | STATUS = 7 | DATA = 14/05/2018 10:59 | MOTIVO_CANCELAMENTO = 
14/05/2018 13:08 - DOUGLAS | USUARIO = 11530 | CI = 24533 | STATUS = 3 | DATA = 14/05/2018 13:08 | MOTIVO_CANCELAMENTO = 
14/05/2018 13:08 - DOUGLAS | USUARIO = 11530 | CI = 24540 | STATUS = 3 | DATA = 14/05/2018 13:08 | MOTIVO_CANCELAMENTO = 
14/05/2018 13:31 - THIAGO | USUARIO = 10892 | CI = 24539 | STATUS = 3 | DATA = 14/05/2018 13:31 | MOTIVO_CANCELAMENTO = 
14/05/2018 13:35 - LUIDE | USUARIO = 10836 | CI = 24524 | STATUS = 7 | DATA = 14/05/2018 13:35 | MOTIVO_CANCELAMENTO = 
14/05/2018 13:35 - LUIDE | USUARIO = 10836 | CI = 24524 | STATUS = 3 | DATA = 14/05/2018 13:35 | MOTIVO_CANCELAMENTO = 
14/05/2018 13:56 - ZEZE | USUARIO = 10931 | CI = 24531 | STATUS = 3 | DATA = 14/05/2018 13:56 | MOTIVO_CANCELAMENTO = 
14/05/2018 13:56 - ZEZE | USUARIO = 10931 | CI = 24538 | STATUS = 7 | DATA = 14/05/2018 13:56 | MOTIVO_CANCELAMENTO = 
14/05/2018 13:56 - ZEZE | USUARIO = 10931 | CI = 24538 | STATUS = 3 | DATA = 14/05/2018 13:56 | MOTIVO_CANCELAMENTO = 
14/05/2018 13:57 - ZEZE | USUARIO = 10931 | CI = 24537 | STATUS = 7 | DATA = 14/05/2018 13:57 | MOTIVO_CANCELAMENTO = 
14/05/2018 13:57 - ZEZE | USUARIO = 10931 | CI = 24537 | STATUS = 3 | DATA = 14/05/2018 13:57 | MOTIVO_CANCELAMENTO = 
14/05/2018 13:57 - ZEZE | USUARIO = 10931 | CI = 24532 | STATUS = 3 | DATA = 14/05/2018 13:57 | MOTIVO_CANCELAMENTO = 
15/05/2018 13:38 - MARCIO | USUARIO = 10850 | CI = 24542 | STATUS = 3 | DATA = 15/05/2018 13:38 | MOTIVO_CANCELAMENTO = 
15/05/2018 15:17 - HEBERTLUCIO | USUARIO = 11635 | CI = 24541 | STATUS = 3 | DATA = 15/05/2018 15:17 | MOTIVO_CANCELAMENTO = 
17/05/2018 11:06 - AREIAS | USUARIO = 10997 | CI = 24546 | STATUS = 3 | DATA = 17/05/2018 11:06 | MOTIVO_CANCELAMENTO = 
17/05/2018 14:56 - ALEXANDRE | USUARIO = 10837 | CI = 24547 | STATUS = 7 | DATA = 17/05/2018 14:56 | MOTIVO_CANCELAMENTO = 
17/05/2018 14:56 - ALEXANDRE | USUARIO = 10837 | CI = 24547 | STATUS = 3 | DATA = 17/05/2018 14:56 | MOTIVO_CANCELAMENTO = 
17/05/2018 14:56 - ALEXANDRE | USUARIO = 10837 | CI = 24548 | STATUS = 7 | DATA = 17/05/2018 14:56 | MOTIVO_CANCELAMENTO = 
17/05/2018 14:56 - ALEXANDRE | USUARIO = 10837 | CI = 24548 | STATUS = 3 | DATA = 17/05/2018 14:56 | MOTIVO_CANCELAMENTO = 
