02/08/2017 14:32 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/08/2017 14:32
02/08/2017 14:44 - RAQUEL | ID_USUARIO = 10882 | DATA_LOGIN = 02/08/2017 14:44
02/08/2017 14:47 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/08/2017 14:47
02/08/2017 14:50 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2017 14:50
02/08/2017 14:51 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/08/2017 14:51
02/08/2017 14:51 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/08/2017 14:51
02/08/2017 14:56 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/08/2017 14:56
02/08/2017 15:00 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/08/2017 15:00
02/08/2017 15:22 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/08/2017 15:22
02/08/2017 15:38 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/08/2017 15:38
02/08/2017 15:39 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2017 15:39
02/08/2017 15:39 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/08/2017 15:39
02/08/2017 15:43 - ADEIR | ID_USUARIO = 10916 | DATA_LOGIN = 02/08/2017 15:43
02/08/2017 15:51 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/08/2017 15:51
02/08/2017 16:00 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/08/2017 16:00
02/08/2017 16:06 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/08/2017 16:06
02/08/2017 16:07 - MONICA | ID_USUARIO = 10876 | DATA_LOGIN = 02/08/2017 16:07
02/08/2017 16:09 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/08/2017 16:09
02/08/2017 16:11 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 02/08/2017 16:11
02/08/2017 16:16 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2017 16:16
02/08/2017 16:29 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 02/08/2017 16:29
02/08/2017 16:39 - FABIOTOMASETTO | ID_USUARIO = 11180 | DATA_LOGIN = 02/08/2017 16:39
02/08/2017 16:39 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/08/2017 16:39
02/08/2017 16:39 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/08/2017 16:39
02/08/2017 16:40 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/08/2017 16:40
02/08/2017 16:45 - JOISYLOPES | ID_USUARIO = 11616 | DATA_LOGIN = 02/08/2017 16:45
02/08/2017 16:47 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 02/08/2017 16:47
02/08/2017 16:59 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/08/2017 16:59
02/08/2017 16:59 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 02/08/2017 16:59
02/08/2017 17:00 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/08/2017 17:00
02/08/2017 17:27 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/08/2017 17:27
02/08/2017 17:32 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/08/2017 17:32
02/08/2017 18:21 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 02/08/2017 18:21
02/08/2017 18:22 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 02/08/2017 18:22
03/08/2017 00:43 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2017 0:43
03/08/2017 07:09 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2017 7:09
03/08/2017 07:12 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 03/08/2017 7:12
03/08/2017 07:14 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/08/2017 7:14
03/08/2017 07:15 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2017 7:15
03/08/2017 07:16 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2017 7:16
03/08/2017 07:29 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2017 7:29
03/08/2017 07:34 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2017 7:34
03/08/2017 07:36 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/08/2017 7:36
03/08/2017 07:36 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/08/2017 7:36
03/08/2017 07:41 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/08/2017 7:41
03/08/2017 07:44 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/08/2017 7:44
03/08/2017 08:05 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2017 8:05
03/08/2017 08:05 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2017 8:05
03/08/2017 08:06 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/08/2017 8:06
03/08/2017 08:23 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2017 8:23
03/08/2017 08:36 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/08/2017 8:36
03/08/2017 08:47 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 03/08/2017 8:47
03/08/2017 09:00 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/08/2017 9:00
03/08/2017 09:09 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2017 9:09
03/08/2017 09:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2017 9:10
03/08/2017 09:24 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2017 9:24
03/08/2017 09:32 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/08/2017 9:32
