08/04/2015 11:46 - SYLVIO | USUARIO = 10914 | CI = 11374 | STATUS = 3 | DATA = 08/04/2015 11:46 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:46 - SYLVIO | USUARIO = 10914 | CI = 11365 | STATUS = 3 | DATA = 08/04/2015 11:46 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:47 - SYLVIO | USUARIO = 10914 | CI = 11395 | STATUS = 3 | DATA = 08/04/2015 11:47 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:47 - SYLVIO | USUARIO = 10914 | CI = 11411 | STATUS = 3 | DATA = 08/04/2015 11:47 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:47 - SYLVIO | USUARIO = 10914 | CI = 11410 | STATUS = 3 | DATA = 08/04/2015 11:47 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:48 - SYLVIO | USUARIO = 10914 | CI = 11416 | STATUS = 3 | DATA = 08/04/2015 11:48 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:48 - TOM | USUARIO = 10831 | CI = 11413 | STATUS = 7 | DATA = 08/04/2015 11:48 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:48 - TOM | USUARIO = 10831 | CI = 11413 | STATUS = 3 | DATA = 08/04/2015 11:48 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:49 - TOM | USUARIO = 10831 | CI = 11415 | STATUS = 7 | DATA = 08/04/2015 11:49 | MOTIVO_CANCELAMENTO = 
08/04/2015 11:49 - TOM | USUARIO = 10831 | CI = 11415 | STATUS = 3 | DATA = 08/04/2015 11:49 | MOTIVO_CANCELAMENTO = 
08/04/2015 13:44 - ZEZE | USUARIO = 10931 | CI = 11418 | STATUS = 7 | DATA = 08/04/2015 13:44 | MOTIVO_CANCELAMENTO = 
08/04/2015 13:57 - ZEZE | USUARIO = 10931 | CI = 11422 | STATUS = 3 | DATA = 08/04/2015 13:57 | MOTIVO_CANCELAMENTO = 
08/04/2015 13:58 - TOM | USUARIO = 10831 | CI = 11417 | STATUS = 7 | DATA = 08/04/2015 13:58 | MOTIVO_CANCELAMENTO = 
08/04/2015 13:58 - TOM | USUARIO = 10831 | CI = 11417 | STATUS = 3 | DATA = 08/04/2015 13:58 | MOTIVO_CANCELAMENTO = 
08/04/2015 13:59 - TOM | USUARIO = 10831 | CI = 11420 | STATUS = 7 | DATA = 08/04/2015 13:59 | MOTIVO_CANCELAMENTO = 
08/04/2015 13:59 - TOM | USUARIO = 10831 | CI = 11420 | STATUS = 3 | DATA = 08/04/2015 13:59 | MOTIVO_CANCELAMENTO = 
08/04/2015 13:59 - TOM | USUARIO = 10831 | CI = 11421 | STATUS = 7 | DATA = 08/04/2015 13:59 | MOTIVO_CANCELAMENTO = 
08/04/2015 13:59 - TOM | USUARIO = 10831 | CI = 11421 | STATUS = 3 | DATA = 08/04/2015 13:59 | MOTIVO_CANCELAMENTO = 
08/04/2015 14:04 - EDUARDO | USUARIO = 10844 | CI = 11369 | STATUS = 3 | DATA = 08/04/2015 14:04 | MOTIVO_CANCELAMENTO = 
08/04/2015 14:04 - EDUARDO | USUARIO = 10844 | CI = 11411 | STATUS = 3 | DATA = 08/04/2015 14:04 | MOTIVO_CANCELAMENTO = 
08/04/2015 14:05 - EDUARDO | USUARIO = 10844 | CI = 11410 | STATUS = 3 | DATA = 08/04/2015 14:05 | MOTIVO_CANCELAMENTO = 
08/04/2015 14:07 - EDUARDO | USUARIO = 10844 | CI = 11365 | STATUS = 3 | DATA = 08/04/2015 14:07 | MOTIVO_CANCELAMENTO = 
08/04/2015 14:30 - HEITOR | USUARIO = 10996 | CI = 11424 | STATUS = 3 | DATA = 08/04/2015 14:30 | MOTIVO_CANCELAMENTO = 
08/04/2015 16:36 - ZEZE | USUARIO = 10931 | CI = 11429 | STATUS = 7 | DATA = 08/04/2015 16:36 | MOTIVO_CANCELAMENTO = 
08/04/2015 16:36 - ZEZE | USUARIO = 10931 | CI = 11430 | STATUS = 7 | DATA = 08/04/2015 16:36 | MOTIVO_CANCELAMENTO = 
08/04/2015 16:36 - ZEZE | USUARIO = 10931 | CI = 11430 | STATUS = 3 | DATA = 08/04/2015 16:36 | MOTIVO_CANCELAMENTO = 
08/04/2015 16:40 - FERNANDO | USUARIO = 10842 | CI = 11429 | STATUS = 3 | DATA = 08/04/2015 16:40 | MOTIVO_CANCELAMENTO = 
08/04/2015 16:42 - JT | USUARIO = 10823 | CI = 11403 | STATUS = 3 | DATA = 08/04/2015 16:42 | MOTIVO_CANCELAMENTO = 
08/04/2015 16:46 - TOM | USUARIO = 10831 | CI = 11427 | STATUS = 3 | DATA = 08/04/2015 16:46 | MOTIVO_CANCELAMENTO = 
08/04/2015 16:46 - TOM | USUARIO = 10831 | CI = 11428 | STATUS = 7 | DATA = 08/04/2015 16:46 | MOTIVO_CANCELAMENTO = 
08/04/2015 16:46 - TOM | USUARIO = 10831 | CI = 11428 | STATUS = 3 | DATA = 08/04/2015 16:46 | MOTIVO_CANCELAMENTO = 
08/04/2015 16:47 - TOM | USUARIO = 10831 | CI = 11432 | STATUS = 3 | DATA = 08/04/2015 16:47 | MOTIVO_CANCELAMENTO = 
08/04/2015 17:24 - LUIDE | USUARIO = 10836 | CI = 11418 | STATUS = 3 | DATA = 08/04/2015 17:24 | MOTIVO_CANCELAMENTO = 
08/04/2015 17:24 - LUIDE | USUARIO = 10836 | CI = 11433 | STATUS = 7 | DATA = 08/04/2015 17:24 | MOTIVO_CANCELAMENTO = 
08/04/2015 17:24 - LUIDE | USUARIO = 10836 | CI = 11433 | STATUS = 3 | DATA = 08/04/2015 17:24 | MOTIVO_CANCELAMENTO = 
08/04/2015 18:26 - ACIR | USUARIO = 10839 | CI = 11402 | STATUS = 3 | DATA = 08/04/2015 18:26 | MOTIVO_CANCELAMENTO = 
08/04/2015 18:27 - ACIR | USUARIO = 10839 | CI = 11431 | STATUS = 3 | DATA = 08/04/2015 18:27 | MOTIVO_CANCELAMENTO = 
08/04/2015 18:27 - ACIR | USUARIO = 10839 | CI = 11434 | STATUS = 3 | DATA = 08/04/2015 18:27 | MOTIVO_CANCELAMENTO = 
09/04/2015 09:47 - AREIAS | USUARIO = 10997 | CI = 11437 | STATUS = 7 | DATA = 09/04/2015 9:47 | MOTIVO_CANCELAMENTO = 
09/04/2015 09:47 - AREIAS | USUARIO = 10997 | CI = 11438 | STATUS = 7 | DATA = 09/04/2015 9:47 | MOTIVO_CANCELAMENTO = 
09/04/2015 11:42 - LUIDE | USUARIO = 10836 | CI = 11439 | STATUS = 3 | DATA = 09/04/2015 11:42 | MOTIVO_CANCELAMENTO = 
09/04/2015 14:49 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11426 | STATUS = 7 | DATA = 09/04/2015 14:49 | MOTIVO_CANCELAMENTO = Favor procurar a área Tributária (Santana) para providenciar baixa via compensação de impostos (PER / DCOMP).

Não pagar via banco!
09/04/2015 14:49 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11426 | STATUS = 3 | DATA = 09/04/2015 14:49 | MOTIVO_CANCELAMENTO = Favor procurar a área Tributária (Santana) para providenciar baixa via compensação de impostos (PER / DCOMP).

Não pagar via banco!
09/04/2015 14:50 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11425 | STATUS = 7 | DATA = 09/04/2015 14:50 | MOTIVO_CANCELAMENTO = Favor procurar a área Tributária (Santana) para providenciar baixa via compensação de impostos (PER / DCOMP).

Não pagar via banco!
09/04/2015 14:50 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11425 | STATUS = 3 | DATA = 09/04/2015 14:50 | MOTIVO_CANCELAMENTO = Favor procurar a área Tributária (Santana) para providenciar baixa via compensação de impostos (PER / DCOMP).

Não pagar via banco!
09/04/2015 14:51 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11423 | STATUS = 7 | DATA = 09/04/2015 14:51 | MOTIVO_CANCELAMENTO = 
09/04/2015 14:51 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11423 | STATUS = 3 | DATA = 09/04/2015 14:51 | MOTIVO_CANCELAMENTO = 
09/04/2015 14:59 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11419 | STATUS = 7 | DATA = 09/04/2015 14:59 | MOTIVO_CANCELAMENTO = Favor procurar a área Tributária (Santana) para providenciar baixa via compensação de impostos (PER / DCOMP).

Não pagar via banco!
09/04/2015 15:00 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11397 | STATUS = 7 | DATA = 09/04/2015 15:00 | MOTIVO_CANCELAMENTO = 
09/04/2015 15:02 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11391 | STATUS = 7 | DATA = 09/04/2015 15:02 | MOTIVO_CANCELAMENTO = 
09/04/2015 15:02 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11391 | STATUS = 3 | DATA = 09/04/2015 15:02 | MOTIVO_CANCELAMENTO = 
09/04/2015 15:51 - ZEZE | USUARIO = 10931 | CI = 11442 | STATUS = 7 | DATA = 09/04/2015 15:51 | MOTIVO_CANCELAMENTO = 
09/04/2015 15:51 - ZEZE | USUARIO = 10931 | CI = 11442 | STATUS = 3 | DATA = 09/04/2015 15:51 | MOTIVO_CANCELAMENTO = 
09/04/2015 16:05 - FERNANDO | USUARIO = 10842 | CI = 11445 | STATUS = 3 | DATA = 09/04/2015 16:05 | MOTIVO_CANCELAMENTO = 
09/04/2015 16:05 - FERNANDO | USUARIO = 10842 | CI = 11443 | STATUS = 3 | DATA = 09/04/2015 16:05 | MOTIVO_CANCELAMENTO = 
09/04/2015 16:09 - FERNANDO | USUARIO = 10842 | CI = 11419 | STATUS = 3 | DATA = 09/04/2015 16:09 | MOTIVO_CANCELAMENTO = 
09/04/2015 16:10 - FERNANDO | USUARIO = 10842 | CI = 11397 | STATUS = 3 | DATA = 09/04/2015 16:10 | MOTIVO_CANCELAMENTO = 
09/04/2015 16:11 - JT | USUARIO = 10823 | CI = 11437 | STATUS = 3 | DATA = 09/04/2015 16:11 | MOTIVO_CANCELAMENTO = 
09/04/2015 16:14 - JT | USUARIO = 10823 | CI = 11438 | STATUS = 3 | DATA = 09/04/2015 16:14 | MOTIVO_CANCELAMENTO = 
09/04/2015 16:14 - JT | USUARIO = 10823 | CI = 11440 | STATUS = 7 | DATA = 09/04/2015 16:14 | MOTIVO_CANCELAMENTO = 
09/04/2015 16:16 - JT | USUARIO = 10823 | CI = 11444 | STATUS = 7 | DATA = 09/04/2015 16:16 | MOTIVO_CANCELAMENTO = 
