06/07/2015 16:54 - TOM | USUARIO = 10831 | CI = 12452 | STATUS = 3 | DATA = 06/07/2015 16:54 | MOTIVO_CANCELAMENTO = 
06/07/2015 17:03 - FERNANDO | USUARIO = 10842 | CI = 12458 | STATUS = 3 | DATA = 06/07/2015 17:03 | MOTIVO_CANCELAMENTO = 
06/07/2015 17:28 - JT | USUARIO = 10823 | CI = 12433 | STATUS = 3 | DATA = 06/07/2015 17:28 | MOTIVO_CANCELAMENTO = 
06/07/2015 17:28 - JT | USUARIO = 10823 | CI = 12457 | STATUS = 3 | DATA = 06/07/2015 17:28 | MOTIVO_CANCELAMENTO = 
07/07/2015 08:08 - DORACI | USUARIO = 10886 | CI = 12460 | STATUS = 7 | DATA = 07/07/2015 8:08 | MOTIVO_CANCELAMENTO = 
07/07/2015 08:08 - DORACI | USUARIO = 10886 | CI = 12460 | STATUS = 3 | DATA = 07/07/2015 8:08 | MOTIVO_CANCELAMENTO = 
07/07/2015 08:30 - ZEZE | USUARIO = 10931 | CI = 12462 | STATUS = 7 | DATA = 07/07/2015 8:30 | MOTIVO_CANCELAMENTO = 
07/07/2015 08:30 - ZEZE | USUARIO = 10931 | CI = 12462 | STATUS = 3 | DATA = 07/07/2015 8:30 | MOTIVO_CANCELAMENTO = 
07/07/2015 08:30 - ZEZE | USUARIO = 10931 | CI = 12463 | STATUS = 7 | DATA = 07/07/2015 8:30 | MOTIVO_CANCELAMENTO = 
07/07/2015 08:30 - ZEZE | USUARIO = 10931 | CI = 12463 | STATUS = 3 | DATA = 07/07/2015 8:30 | MOTIVO_CANCELAMENTO = 
07/07/2015 08:30 - ZEZE | USUARIO = 10931 | CI = 12464 | STATUS = 7 | DATA = 07/07/2015 8:30 | MOTIVO_CANCELAMENTO = 
07/07/2015 08:31 - ZEZE | USUARIO = 10931 | CI = 12465 | STATUS = 7 | DATA = 07/07/2015 8:31 | MOTIVO_CANCELAMENTO = 
07/07/2015 08:31 - ZEZE | USUARIO = 10931 | CI = 12465 | STATUS = 3 | DATA = 07/07/2015 8:31 | MOTIVO_CANCELAMENTO = 
07/07/2015 08:31 - ZEZE | USUARIO = 10931 | CI = 12467 | STATUS = 7 | DATA = 07/07/2015 8:31 | MOTIVO_CANCELAMENTO = 
07/07/2015 08:31 - ZEZE | USUARIO = 10931 | CI = 12467 | STATUS = 3 | DATA = 07/07/2015 8:31 | MOTIVO_CANCELAMENTO = 
07/07/2015 08:31 - ZEZE | USUARIO = 10931 | CI = 12469 | STATUS = 3 | DATA = 07/07/2015 8:31 | MOTIVO_CANCELAMENTO = 
07/07/2015 09:12 - FERNANDO | USUARIO = 10842 | CI = 12464 | STATUS = 3 | DATA = 07/07/2015 9:12 | MOTIVO_CANCELAMENTO = 
07/07/2015 10:35 - ZEZE | USUARIO = 10931 | CI = 12471 | STATUS = 7 | DATA = 07/07/2015 10:35 | MOTIVO_CANCELAMENTO = 
07/07/2015 10:35 - ZEZE | USUARIO = 10931 | CI = 12471 | STATUS = 3 | DATA = 07/07/2015 10:35 | MOTIVO_CANCELAMENTO = 
07/07/2015 10:58 - HEITOR | USUARIO = 10996 | CI = 12473 | STATUS = 3 | DATA = 07/07/2015 10:58 | MOTIVO_CANCELAMENTO = 
07/07/2015 10:58 - HEITOR | USUARIO = 10996 | CI = 12474 | STATUS = 3 | DATA = 07/07/2015 10:58 | MOTIVO_CANCELAMENTO = 
07/07/2015 11:53 - CAMARA | USUARIO = 10841 | CI = 12472 | STATUS = 3 | DATA = 07/07/2015 11:53 | MOTIVO_CANCELAMENTO = 
07/07/2015 14:01 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12408 | STATUS = 7 | DATA = 07/07/2015 14:01 | MOTIVO_CANCELAMENTO = 
07/07/2015 14:03 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12415 | STATUS = 7 | DATA = 07/07/2015 14:03 | MOTIVO_CANCELAMENTO = 
07/07/2015 14:05 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12416 | STATUS = 7 | DATA = 07/07/2015 14:05 | MOTIVO_CANCELAMENTO = 
07/07/2015 14:06 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12419 | STATUS = 7 | DATA = 07/07/2015 14:06 | MOTIVO_CANCELAMENTO = 
