03/11/2016 16:18 - DORACI | USUARIO = 10886 | CI = 18091 | STATUS = 3 | DATA = 03/11/2016 16:18 | MOTIVO_CANCELAMENTO = 
03/11/2016 16:26 - ZEZE | USUARIO = 10931 | CI = 18078 | STATUS = 7 | DATA = 03/11/2016 16:26 | MOTIVO_CANCELAMENTO = Aprovado.
03/11/2016 16:26 - ZEZE | USUARIO = 10931 | CI = 18079 | STATUS = 7 | DATA = 03/11/2016 16:26 | MOTIVO_CANCELAMENTO = Aprovado.
03/11/2016 16:26 - ZEZE | USUARIO = 10931 | CI = 18080 | STATUS = 7 | DATA = 03/11/2016 16:26 | MOTIVO_CANCELAMENTO = Aprovado.
03/11/2016 16:26 - ZEZE | USUARIO = 10931 | CI = 18081 | STATUS = 7 | DATA = 03/11/2016 16:26 | MOTIVO_CANCELAMENTO = Aprovado.
04/11/2016 03:52 - DOUGLAS | USUARIO = 11530 | CI = 18081 | STATUS = 3 | DATA = 04/11/2016 3:52 | MOTIVO_CANCELAMENTO = 
04/11/2016 03:52 - DOUGLAS | USUARIO = 11530 | CI = 18080 | STATUS = 3 | DATA = 04/11/2016 3:52 | MOTIVO_CANCELAMENTO = 
04/11/2016 03:52 - DOUGLAS | USUARIO = 11530 | CI = 18079 | STATUS = 3 | DATA = 04/11/2016 3:52 | MOTIVO_CANCELAMENTO = 
04/11/2016 03:52 - DOUGLAS | USUARIO = 11530 | CI = 18078 | STATUS = 3 | DATA = 04/11/2016 3:52 | MOTIVO_CANCELAMENTO = 
04/11/2016 03:52 - DOUGLAS | USUARIO = 11530 | CI = 18073 | STATUS = 3 | DATA = 04/11/2016 3:52 | MOTIVO_CANCELAMENTO = 
04/11/2016 03:52 - DOUGLAS | USUARIO = 11530 | CI = 18072 | STATUS = 3 | DATA = 04/11/2016 3:52 | MOTIVO_CANCELAMENTO = 
04/11/2016 03:53 - DOUGLAS | USUARIO = 11530 | CI = 18069 | STATUS = 3 | DATA = 04/11/2016 3:53 | MOTIVO_CANCELAMENTO = 
04/11/2016 03:53 - DOUGLAS | USUARIO = 11530 | CI = 18068 | STATUS = 3 | DATA = 04/11/2016 3:53 | MOTIVO_CANCELAMENTO = 
04/11/2016 07:33 - MARCIO | USUARIO = 10850 | CI = 18093 | STATUS = 3 | DATA = 04/11/2016 7:33 | MOTIVO_CANCELAMENTO = 
04/11/2016 07:42 - AREIAS | USUARIO = 10997 | CI = 18085 | STATUS = 7 | DATA = 04/11/2016 7:42 | MOTIVO_CANCELAMENTO = 
04/11/2016 10:24 - DORACI | USUARIO = 10886 | CI = 18102 | STATUS = 3 | DATA = 04/11/2016 10:24 | MOTIVO_CANCELAMENTO = 
04/11/2016 10:26 - MICHELSANTOS | USUARIO = 11324 | CI = 18084 | STATUS = 5 | DATA = 04/11/2016 10:26 | MOTIVO_CANCELAMENTO = C.I em duplicidade
04/11/2016 11:17 - JT | USUARIO = 10823 | CI = 18105 | STATUS = 3 | DATA = 04/11/2016 11:17 | MOTIVO_CANCELAMENTO = 
04/11/2016 11:17 - JT | USUARIO = 10823 | CI = 18085 | STATUS = 3 | DATA = 04/11/2016 11:17 | MOTIVO_CANCELAMENTO = 
04/11/2016 11:18 - JT | USUARIO = 10823 | CI = 18097 | STATUS = 7 | DATA = 04/11/2016 11:18 | MOTIVO_CANCELAMENTO = 
04/11/2016 11:18 - JT | USUARIO = 10823 | CI = 18097 | STATUS = 3 | DATA = 04/11/2016 11:18 | MOTIVO_CANCELAMENTO = 
04/11/2016 11:18 - JT | USUARIO = 10823 | CI = 18099 | STATUS = 7 | DATA = 04/11/2016 11:18 | MOTIVO_CANCELAMENTO = 
04/11/2016 11:18 - JT | USUARIO = 10823 | CI = 18099 | STATUS = 3 | DATA = 04/11/2016 11:18 | MOTIVO_CANCELAMENTO = 
04/11/2016 14:08 - AREIAS | USUARIO = 10997 | CI = 18101 | STATUS = 7 | DATA = 04/11/2016 14:08 | MOTIVO_CANCELAMENTO = 
04/11/2016 14:08 - AREIAS | USUARIO = 10997 | CI = 18101 | STATUS = 3 | DATA = 04/11/2016 14:08 | MOTIVO_CANCELAMENTO = 
04/11/2016 16:06 - MATHEUSUZELOTTO | USUARIO = 11309 | CI = 18112 | STATUS = 3 | DATA = 04/11/2016 16:06 | MOTIVO_CANCELAMENTO = 
04/11/2016 16:24 - JENS | USUARIO = 10895 | CI = 18074 | STATUS = 3 | DATA = 04/11/2016 16:24 | MOTIVO_CANCELAMENTO = 
04/11/2016 16:33 - ZEZE | USUARIO = 10931 | CI = 18094 | STATUS = 7 | DATA = 04/11/2016 16:33 | MOTIVO_CANCELAMENTO = Aprovado.
04/11/2016 16:33 - ZEZE | USUARIO = 10931 | CI = 18094 | STATUS = 3 | DATA = 04/11/2016 16:33 | MOTIVO_CANCELAMENTO = Aprovado.
04/11/2016 16:33 - ZEZE | USUARIO = 10931 | CI = 18095 | STATUS = 7 | DATA = 04/11/2016 16:33 | MOTIVO_CANCELAMENTO = Aprovado.
04/11/2016 16:33 - ZEZE | USUARIO = 10931 | CI = 18095 | STATUS = 3 | DATA = 04/11/2016 16:33 | MOTIVO_CANCELAMENTO = Aprovado.
04/11/2016 16:43 - MARCELOGODOI | USUARIO = 11316 | CI = 18108 | STATUS = 7 | DATA = 04/11/2016 16:43 | MOTIVO_CANCELAMENTO = Condenação em 2ª Instância, valor de causa 39.000,00.
Há 28.660,00 de depósito recursal.
Condenação foi de 21.000,00 e a diferença retornará.
04/11/2016 16:48 - MARCELOGODOI | USUARIO = 11316 | CI = 18111 | STATUS = 7 | DATA = 04/11/2016 16:48 | MOTIVO_CANCELAMENTO = Condenação em 2ª Instância. Valor de causa de 60.000,00
Nesse não há depósito recursal.
Pagamento 30% mais 6 vezes.
04/11/2016 16:58 - LUIDE | USUARIO = 10836 | CI = 17969 | STATUS = 3 | DATA = 04/11/2016 16:58 | MOTIVO_CANCELAMENTO = 
04/11/2016 16:58 - LUIDE | USUARIO = 10836 | CI = 18051 | STATUS = 7 | DATA = 04/11/2016 16:58 | MOTIVO_CANCELAMENTO = 
04/11/2016 16:58 - LUIDE | USUARIO = 10836 | CI = 18052 | STATUS = 7 | DATA = 04/11/2016 16:58 | MOTIVO_CANCELAMENTO = 
04/11/2016 16:58 - LUIDE | USUARIO = 10836 | CI = 18054 | STATUS = 7 | DATA = 04/11/2016 16:58 | MOTIVO_CANCELAMENTO = 
04/11/2016 16:58 - LUIDE | USUARIO = 10836 | CI = 18092 | STATUS = 7 | DATA = 04/11/2016 16:58 | MOTIVO_CANCELAMENTO = 
04/11/2016 17:15 - DOUGLAS | USUARIO = 11530 | CI = 18051 | STATUS = 3 | DATA = 04/11/2016 17:15 | MOTIVO_CANCELAMENTO = 
04/11/2016 17:15 - DOUGLAS | USUARIO = 11530 | CI = 18052 | STATUS = 3 | DATA = 04/11/2016 17:15 | MOTIVO_CANCELAMENTO = 
04/11/2016 17:15 - DOUGLAS | USUARIO = 11530 | CI = 18054 | STATUS = 3 | DATA = 04/11/2016 17:15 | MOTIVO_CANCELAMENTO = 
04/11/2016 17:15 - DOUGLAS | USUARIO = 11530 | CI = 18092 | STATUS = 3 | DATA = 04/11/2016 17:15 | MOTIVO_CANCELAMENTO = 
04/11/2016 17:15 - DOUGLAS | USUARIO = 11530 | CI = 18111 | STATUS = 3 | DATA = 04/11/2016 17:15 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
04/11/2016 17:37 - ACIR | USUARIO = 10839 | CI = 18098 | STATUS = 3 | DATA = 04/11/2016 17:37 | MOTIVO_CANCELAMENTO = 
04/11/2016 17:37 - ACIR | USUARIO = 10839 | CI = 18100 | STATUS = 3 | DATA = 04/11/2016 17:37 | MOTIVO_CANCELAMENTO = 
04/11/2016 18:12 - CHRISTIANO | USUARIO = 11570 | CI = 18065 | STATUS = 3 | DATA = 04/11/2016 18:12 | MOTIVO_CANCELAMENTO = 
04/11/2016 18:12 - CHRISTIANO | USUARIO = 11570 | CI = 18078 | STATUS = 3 | DATA = 04/11/2016 18:12 | MOTIVO_CANCELAMENTO = 
04/11/2016 18:12 - CHRISTIANO | USUARIO = 11570 | CI = 18079 | STATUS = 3 | DATA = 04/11/2016 18:12 | MOTIVO_CANCELAMENTO = 
04/11/2016 18:12 - CHRISTIANO | USUARIO = 11570 | CI = 18111 | STATUS = 3 | DATA = 04/11/2016 18:12 | MOTIVO_CANCELAMENTO = 
04/11/2016 18:13 - CHRISTIANO | USUARIO = 11570 | CI = 18108 | STATUS = 3 | DATA = 04/11/2016 18:13 | MOTIVO_CANCELAMENTO = 
04/11/2016 18:13 - CHRISTIANO | USUARIO = 11570 | CI = 18081 | STATUS = 3 | DATA = 04/11/2016 18:13 | MOTIVO_CANCELAMENTO = 
04/11/2016 18:13 - CHRISTIANO | USUARIO = 11570 | CI = 18080 | STATUS = 3 | DATA = 04/11/2016 18:13 | MOTIVO_CANCELAMENTO = 
05/11/2016 19:27 - AREIAS | USUARIO = 10997 | CI = 18113 | STATUS = 7 | DATA = 05/11/2016 19:27 | MOTIVO_CANCELAMENTO = 
07/11/2016 09:31 - DORACI | USUARIO = 10886 | CI = 18116 | STATUS = 7 | DATA = 07/11/2016 9:31 | MOTIVO_CANCELAMENTO = 
07/11/2016 09:32 - DORACI | USUARIO = 10886 | CI = 18113 | STATUS = 3 | DATA = 07/11/2016 9:32 | MOTIVO_CANCELAMENTO = 
07/11/2016 10:10 - DOUGLAS | USUARIO = 11530 | CI = 18116 | STATUS = 3 | DATA = 07/11/2016 10:10 | MOTIVO_CANCELAMENTO = 
07/11/2016 14:17 - JG | USUARIO = 10849 | CI = 18104 | STATUS = 3 | DATA = 07/11/2016 14:17 | MOTIVO_CANCELAMENTO = ok
07/11/2016 14:18 - JG | USUARIO = 10849 | CI = 18118 | STATUS = 3 | DATA = 07/11/2016 14:18 | MOTIVO_CANCELAMENTO = ok
07/11/2016 14:37 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18096 | STATUS = 7 | DATA = 07/11/2016 14:37 | MOTIVO_CANCELAMENTO = 
07/11/2016 14:37 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18096 | STATUS = 3 | DATA = 07/11/2016 14:37 | MOTIVO_CANCELAMENTO = 
07/11/2016 15:37 - DORACI | USUARIO = 10886 | CI = 18121 | STATUS = 7 | DATA = 07/11/2016 15:37 | MOTIVO_CANCELAMENTO = 
07/11/2016 15:37 - DORACI | USUARIO = 10886 | CI = 18121 | STATUS = 3 | DATA = 07/11/2016 15:37 | MOTIVO_CANCELAMENTO = 
07/11/2016 16:05 - MARTA | USUARIO = 10847 | CI = 18130 | STATUS = 3 | DATA = 07/11/2016 16:05 | MOTIVO_CANCELAMENTO = Aprovado.
07/11/2016 16:39 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18110 | STATUS = 7 | DATA = 07/11/2016 16:39 | MOTIVO_CANCELAMENTO = 
07/11/2016 16:39 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18110 | STATUS = 3 | DATA = 07/11/2016 16:39 | MOTIVO_CANCELAMENTO = 
07/11/2016 16:40 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18114 | STATUS = 7 | DATA = 07/11/2016 16:40 | MOTIVO_CANCELAMENTO = 
