04/12/2017 08:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/12/2017 8:23
04/12/2017 08:29 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 04/12/2017 8:29
04/12/2017 08:30 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 04/12/2017 8:30
04/12/2017 08:31 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 04/12/2017 8:31
04/12/2017 08:34 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/12/2017 8:34
04/12/2017 08:35 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 04/12/2017 8:35
04/12/2017 08:38 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/12/2017 8:38
04/12/2017 08:43 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 04/12/2017 8:43
04/12/2017 08:43 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 04/12/2017 8:43
04/12/2017 08:45 - ROGERINHO | ID_USUARIO = 238 | DATA_LOGIN = 04/12/2017 8:45
04/12/2017 08:45 - ROGERINHO | ID_USUARIO = 238 | DATA_LOGIN = 04/12/2017 8:45
04/12/2017 08:52 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/12/2017 8:52
04/12/2017 08:53 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/12/2017 8:53
04/12/2017 09:00 - MONICA | ID_USUARIO = 10876 | DATA_LOGIN = 04/12/2017 9:00
04/12/2017 09:01 - MONICA | ID_USUARIO = 10876 | DATA_LOGIN = 04/12/2017 9:01
04/12/2017 09:05 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/12/2017 9:05
04/12/2017 09:06 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/12/2017 9:06
04/12/2017 09:09 - WILSONVICTORIA | ID_USUARIO = 6958 | DATA_LOGIN = 04/12/2017 9:09
04/12/2017 09:14 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 04/12/2017 9:14
04/12/2017 09:23 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 04/12/2017 9:23
04/12/2017 09:24 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 04/12/2017 9:24
04/12/2017 09:26 - GUSTAVOMELGES | ID_USUARIO = 6955 | DATA_LOGIN = 04/12/2017 9:26
