02/08/2017 16:59 - ZEZE | USUARIO = 10931 | CI = 21508 | STATUS = 7 | DATA = 02/08/2017 16:59 | MOTIVO_CANCELAMENTO = 
02/08/2017 16:59 - ZEZE | USUARIO = 10931 | CI = 21508 | STATUS = 3 | DATA = 02/08/2017 16:59 | MOTIVO_CANCELAMENTO = 
02/08/2017 16:59 - ZEZE | USUARIO = 10931 | CI = 21510 | STATUS = 7 | DATA = 02/08/2017 16:59 | MOTIVO_CANCELAMENTO = 
02/08/2017 16:59 - ZEZE | USUARIO = 10931 | CI = 21511 | STATUS = 7 | DATA = 02/08/2017 16:59 | MOTIVO_CANCELAMENTO = 
02/08/2017 16:59 - ZEZE | USUARIO = 10931 | CI = 21511 | STATUS = 3 | DATA = 02/08/2017 16:59 | MOTIVO_CANCELAMENTO = 
02/08/2017 16:59 - ZEZE | USUARIO = 10931 | CI = 21513 | STATUS = 3 | DATA = 02/08/2017 16:59 | MOTIVO_CANCELAMENTO = 
02/08/2017 16:59 - JENS | USUARIO = 10895 | CI = 21505 | STATUS = 3 | DATA = 02/08/2017 16:59 | MOTIVO_CANCELAMENTO = 
02/08/2017 17:32 - DOUGLAS | USUARIO = 11530 | CI = 21510 | STATUS = 3 | DATA = 02/08/2017 17:32 | MOTIVO_CANCELAMENTO = 
02/08/2017 18:22 - ACIR | USUARIO = 10839 | CI = 21471 | STATUS = 3 | DATA = 02/08/2017 18:22 | MOTIVO_CANCELAMENTO = 
02/08/2017 18:22 - ACIR | USUARIO = 10839 | CI = 21460 | STATUS = 3 | DATA = 02/08/2017 18:22 | MOTIVO_CANCELAMENTO = 
02/08/2017 18:23 - TADEUMACHADO | USUARIO = 11594 | CI = 21506 | STATUS = 3 | DATA = 02/08/2017 18:23 | MOTIVO_CANCELAMENTO = 
03/08/2017 09:52 - ZEZE | USUARIO = 10931 | CI = 21515 | STATUS = 7 | DATA = 03/08/2017 9:52 | MOTIVO_CANCELAMENTO = 
03/08/2017 09:57 - ZEZE | USUARIO = 10931 | CI = 21517 | STATUS = 7 | DATA = 03/08/2017 9:57 | MOTIVO_CANCELAMENTO = 
03/08/2017 09:57 - ZEZE | USUARIO = 10931 | CI = 21517 | STATUS = 3 | DATA = 03/08/2017 9:57 | MOTIVO_CANCELAMENTO = 
03/08/2017 09:57 - ZEZE | USUARIO = 10931 | CI = 21518 | STATUS = 7 | DATA = 03/08/2017 9:57 | MOTIVO_CANCELAMENTO = 
