04/09/2018 08:53 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 04/09/2018 8:53
04/09/2018 08:55 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 04/09/2018 8:55
04/09/2018 08:55 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/09/2018 8:55
04/09/2018 09:01 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 04/09/2018 9:01
04/09/2018 09:26 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 04/09/2018 9:26
04/09/2018 09:37 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/09/2018 9:37
04/09/2018 09:56 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/09/2018 9:56
04/09/2018 10:14 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 04/09/2018 10:14
04/09/2018 10:24 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 04/09/2018 10:24
04/09/2018 10:30 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 04/09/2018 10:30
04/09/2018 10:36 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 04/09/2018 10:36
04/09/2018 10:37 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/09/2018 10:37
04/09/2018 10:48 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 04/09/2018 10:48
04/09/2018 10:55 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/09/2018 10:55
04/09/2018 11:01 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/09/2018 11:01
04/09/2018 11:03 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 04/09/2018 11:03
04/09/2018 11:08 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/09/2018 11:08
04/09/2018 11:10 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/09/2018 11:10
04/09/2018 11:33 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 04/09/2018 11:33
04/09/2018 11:42 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/09/2018 11:42
04/09/2018 11:53 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/09/2018 11:53
04/09/2018 11:57 - THIAGO | ID_USUARIO = 10892 | DATA_LOGIN = 04/09/2018 11:57
04/09/2018 11:57 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/09/2018 11:57
04/09/2018 12:47 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 04/09/2018 12:47
04/09/2018 12:47 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 04/09/2018 12:47
04/09/2018 13:06 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/09/2018 13:06
04/09/2018 13:15 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 04/09/2018 13:15
04/09/2018 13:16 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/09/2018 13:16
04/09/2018 13:22 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/09/2018 13:22
04/09/2018 13:29 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 04/09/2018 13:29
04/09/2018 13:30 - THIAGO | ID_USUARIO = 10892 | DATA_LOGIN = 04/09/2018 13:30
04/09/2018 13:38 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 04/09/2018 13:38
04/09/2018 13:39 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/09/2018 13:39
04/09/2018 14:04 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/09/2018 14:04
04/09/2018 14:15 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/09/2018 14:15
04/09/2018 14:23 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/09/2018 14:23
04/09/2018 14:31 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/09/2018 14:31
04/09/2018 14:31 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 04/09/2018 14:31
04/09/2018 14:31 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/09/2018 14:31
04/09/2018 14:31 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/09/2018 14:31
04/09/2018 15:00 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 04/09/2018 15:00
04/09/2018 15:46 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/09/2018 15:46
04/09/2018 16:24 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/09/2018 16:24
04/09/2018 16:34 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 04/09/2018 16:34
04/09/2018 16:41 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/09/2018 16:41
04/09/2018 16:53 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 04/09/2018 16:53
04/09/2018 16:58 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/09/2018 16:58
04/09/2018 17:02 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 04/09/2018 17:02
04/09/2018 19:32 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/09/2018 19:32
04/09/2018 23:13 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/09/2018 23:13
