04/03/2016 11:14 - CAMARA | USUARIO = 10841 | CI = 15102 | STATUS = 3 | DATA = 04/03/2016 11:14 | MOTIVO_CANCELAMENTO = 
04/03/2016 11:14 - CAMARA | USUARIO = 10841 | CI = 15101 | STATUS = 3 | DATA = 04/03/2016 11:14 | MOTIVO_CANCELAMENTO = 
04/03/2016 13:19 - LUIDE | USUARIO = 10836 | CI = 15092 | STATUS = 3 | DATA = 04/03/2016 13:19 | MOTIVO_CANCELAMENTO = 
04/03/2016 13:20 - LUIDE | USUARIO = 10836 | CI = 15103 | STATUS = 7 | DATA = 04/03/2016 13:20 | MOTIVO_CANCELAMENTO = 
04/03/2016 13:20 - LUIDE | USUARIO = 10836 | CI = 15103 | STATUS = 3 | DATA = 04/03/2016 13:20 | MOTIVO_CANCELAMENTO = 
04/03/2016 14:55 - LUIDE | USUARIO = 10836 | CI = 15105 | STATUS = 3 | DATA = 04/03/2016 14:55 | MOTIVO_CANCELAMENTO = 
04/03/2016 14:58 - ZEZE | USUARIO = 10931 | CI = 15106 | STATUS = 7 | DATA = 04/03/2016 14:58 | MOTIVO_CANCELAMENTO = 
04/03/2016 14:58 - ZEZE | USUARIO = 10931 | CI = 15106 | STATUS = 3 | DATA = 04/03/2016 14:58 | MOTIVO_CANCELAMENTO = 
05/03/2016 09:39 - ACIR | USUARIO = 10839 | CI = 15109 | STATUS = 3 | DATA = 05/03/2016 9:39 | MOTIVO_CANCELAMENTO = 
05/03/2016 10:27 - JENS | USUARIO = 10895 | CI = 15110 | STATUS = 3 | DATA = 05/03/2016 10:27 | MOTIVO_CANCELAMENTO = 
05/03/2016 10:36 - ACIR | USUARIO = 10839 | CI = 15108 | STATUS = 3 | DATA = 05/03/2016 10:36 | MOTIVO_CANCELAMENTO = 
05/03/2016 10:36 - ACIR | USUARIO = 10839 | CI = 15107 | STATUS = 3 | DATA = 05/03/2016 10:36 | MOTIVO_CANCELAMENTO = 
05/03/2016 10:36 - ACIR | USUARIO = 10839 | CI = 15075 | STATUS = 3 | DATA = 05/03/2016 10:36 | MOTIVO_CANCELAMENTO = 
05/03/2016 17:18 - JT | USUARIO = 10823 | CI = 15111 | STATUS = 7 | DATA = 05/03/2016 17:18 | MOTIVO_CANCELAMENTO = 
05/03/2016 17:18 - JT | USUARIO = 10823 | CI = 15111 | STATUS = 3 | DATA = 05/03/2016 17:18 | MOTIVO_CANCELAMENTO = 
07/03/2016 10:00 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15117 | STATUS = 3 | DATA = 07/03/2016 10:00 | MOTIVO_CANCELAMENTO = 
07/03/2016 10:00 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15113 | STATUS = 3 | DATA = 07/03/2016 10:00 | MOTIVO_CANCELAMENTO = 
07/03/2016 10:28 - LUIDE | USUARIO = 10836 | CI = 15120 | STATUS = 3 | DATA = 07/03/2016 10:28 | MOTIVO_CANCELAMENTO = 
07/03/2016 11:43 - LUIDE | USUARIO = 10836 | CI = 15125 | STATUS = 7 | DATA = 07/03/2016 11:43 | MOTIVO_CANCELAMENTO = 
07/03/2016 11:57 - CHRISTIANO | USUARIO = 11570 | CI = 15125 | STATUS = 3 | DATA = 07/03/2016 11:57 | MOTIVO_CANCELAMENTO = 
07/03/2016 13:59 - EDUARDO | USUARIO = 10844 | CI = 15130 | STATUS = 3 | DATA = 07/03/2016 13:59 | MOTIVO_CANCELAMENTO = 
