14/05/2019 08:09 - LUIDE | USUARIO = 10836 | CI = 27326 | STATUS = 3 | DATA = 14/05/2019 8:09 | MOTIVO_CANCELAMENTO = 
14/05/2019 08:16 - DOUGLAS | USUARIO = 11530 | CI = 27314 | STATUS = 3 | DATA = 14/05/2019 8:16 | MOTIVO_CANCELAMENTO = 
14/05/2019 08:27 - JENS | USUARIO = 10895 | CI = 27327 | STATUS = 3 | DATA = 14/05/2019 8:27 | MOTIVO_CANCELAMENTO = 
14/05/2019 08:46 - REGI | USUARIO = 10864 | CI = 27329 | STATUS = 3 | DATA = 14/05/2019 8:46 | MOTIVO_CANCELAMENTO = Ok.... visita!!
14/05/2019 09:18 - JT | USUARIO = 10823 | CI = 27328 | STATUS = 7 | DATA = 14/05/2019 9:18 | MOTIVO_CANCELAMENTO = 
14/05/2019 11:11 - CAMARA | USUARIO = 10841 | CI = 27330 | STATUS = 3 | DATA = 14/05/2019 11:10 | MOTIVO_CANCELAMENTO = 
14/05/2019 13:02 - HEBERTLUCIO | USUARIO = 11635 | CI = 27328 | STATUS = 3 | DATA = 14/05/2019 13:02 | MOTIVO_CANCELAMENTO = 
14/05/2019 13:03 - HEBERTLUCIO | USUARIO = 11635 | CI = 27331 | STATUS = 7 | DATA = 14/05/2019 13:03 | MOTIVO_CANCELAMENTO = 
14/05/2019 13:03 - HEBERTLUCIO | USUARIO = 11635 | CI = 27331 | STATUS = 3 | DATA = 14/05/2019 13:03 | MOTIVO_CANCELAMENTO = 
14/05/2019 13:06 - ZEZE | USUARIO = 10931 | CI = 27332 | STATUS = 7 | DATA = 14/05/2019 13:06 | MOTIVO_CANCELAMENTO = 
14/05/2019 13:06 - ZEZE | USUARIO = 10931 | CI = 27332 | STATUS = 3 | DATA = 14/05/2019 13:06 | MOTIVO_CANCELAMENTO = 
14/05/2019 14:27 - GUSTAVOGIRO | USUARIO = 6963 | CI = 27334 | STATUS = 7 | DATA = 14/05/2019 14:27 | MOTIVO_CANCELAMENTO = 
14/05/2019 14:27 - GUSTAVOGIRO | USUARIO = 6963 | CI = 27334 | STATUS = 3 | DATA = 14/05/2019 14:27 | MOTIVO_CANCELAMENTO = 
14/05/2019 15:34 - MARTA | USUARIO = 10847 | CI = 27335 | STATUS = 3 | DATA = 14/05/2019 15:34 | MOTIVO_CANCELAMENTO = aprovado.
14/05/2019 16:10 - BRUNOCAMAROTTI | USUARIO = 11392 | CI = 27333 | STATUS = 7 | DATA = 14/05/2019 16:10 | MOTIVO_CANCELAMENTO = 
14/05/2019 16:13 - OSNY | USUARIO = 10826 | CI = 27333 | STATUS = 3 | DATA = 14/05/2019 16:13 | MOTIVO_CANCELAMENTO = 
