21/09/2017 11:50 - OTAVIOGIRO | ID =  | CI = 22039 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 188.00
21/09/2017 13:53 - STEFANIAESTEVO | ID =  | CI = 22041 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 175.19
21/09/2017 15:58 - OTAVIOGIRO | ID =  | CI = 22043 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 40.00
21/09/2017 15:58 - OTAVIOGIRO | ID =  | CI = 22043 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 35.50
21/09/2017 16:02 - OTAVIOGIRO | ID =  | CI = 22044 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
21/09/2017 16:02 - OTAVIOGIRO | ID =  | CI = 22044 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 52.29
22/09/2017 07:21 - SANDRA | ID =  | CI = 22045 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 125.60
22/09/2017 12:52 - MARTA | ID =  | CI = 22050 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 47.49
22/09/2017 12:52 - MARTA | ID =  | CI = 22050 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 1.00
22/09/2017 12:52 - MARTA | ID =  | CI = 22050 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
22/09/2017 13:36 - MATHEUSRODRIGUES | ID =  | CI = 22052 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 46.00
22/09/2017 13:36 - MATHEUSRODRIGUES | ID =  | CI = 22052 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 42.95
22/09/2017 13:36 - MATHEUSRODRIGUES | ID =  | CI = 22052 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 21.00
25/09/2017 07:50 - LUISMOREIRA | ID =  | CI = 22064 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.11
25/09/2017 08:00 - LUISMOREIRA | ID =  | CI = 22065 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 71.80
25/09/2017 09:05 - AMADEUBOVI | ID =  | CI = 22068 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 164.20
25/09/2017 09:05 - AMADEUBOVI | ID =  | CI = 22068 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 75.29
25/09/2017 09:05 - AMADEUBOVI | ID =  | CI = 22068 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 1020.27
25/09/2017 09:08 - AMADEUBOVI | ID =  | CI = 22069 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 164.20
25/09/2017 09:08 - AMADEUBOVI | ID =  | CI = 22069 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 75.29
25/09/2017 09:08 - AMADEUBOVI | ID =  | CI = 22069 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 1020.27
25/09/2017 11:37 - OTAVIOGIRO | ID =  | CI = 22075 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
25/09/2017 11:37 - OTAVIOGIRO | ID =  | CI = 22075 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 239.52
25/09/2017 14:59 - NORIVAL | ID =  | CI = 22077 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 51.00
27/09/2017 11:08 - NORIVAL | ID =  | CI = 22091 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
27/09/2017 11:16 - NORIVAL | ID =  | CI = 22092 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
27/09/2017 13:37 - ALINEFERREIRA | ID =  | CI = 22094 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 142.30
