05/07/2017 13:35 - AREIAS | USUARIO = 10997 | CI = 21170 | STATUS = 7 | DATA = 05/07/2017 13:35 | MOTIVO_CANCELAMENTO = 
05/07/2017 13:35 - AREIAS | USUARIO = 10997 | CI = 21171 | STATUS = 7 | DATA = 05/07/2017 13:35 | MOTIVO_CANCELAMENTO = 
05/07/2017 13:35 - AREIAS | USUARIO = 10997 | CI = 21171 | STATUS = 3 | DATA = 05/07/2017 13:35 | MOTIVO_CANCELAMENTO = 
05/07/2017 13:36 - AREIAS | USUARIO = 10997 | CI = 21178 | STATUS = 7 | DATA = 05/07/2017 13:36 | MOTIVO_CANCELAMENTO = 
05/07/2017 13:36 - AREIAS | USUARIO = 10997 | CI = 21178 | STATUS = 3 | DATA = 05/07/2017 13:36 | MOTIVO_CANCELAMENTO = 
05/07/2017 13:37 - CAMARA | USUARIO = 10841 | CI = 21175 | STATUS = 3 | DATA = 05/07/2017 13:37 | MOTIVO_CANCELAMENTO = 
05/07/2017 13:37 - CAMARA | USUARIO = 10841 | CI = 21176 | STATUS = 3 | DATA = 05/07/2017 13:37 | MOTIVO_CANCELAMENTO = 
05/07/2017 14:30 - DOUGLAS | USUARIO = 11530 | CI = 21158 | STATUS = 3 | DATA = 05/07/2017 14:30 | MOTIVO_CANCELAMENTO = 
05/07/2017 14:30 - DOUGLAS | USUARIO = 11530 | CI = 21170 | STATUS = 3 | DATA = 05/07/2017 14:30 | MOTIVO_CANCELAMENTO = 
05/07/2017 15:15 - DORACI | USUARIO = 10886 | CI = 21182 | STATUS = 7 | DATA = 05/07/2017 15:15 | MOTIVO_CANCELAMENTO = 
05/07/2017 15:29 - OSNY | USUARIO = 10826 | CI = 21174 | STATUS = 7 | DATA = 05/07/2017 15:29 | MOTIVO_CANCELAMENTO = 
05/07/2017 15:43 - DOUGLAS | USUARIO = 11530 | CI = 21174 | STATUS = 3 | DATA = 05/07/2017 15:43 | MOTIVO_CANCELAMENTO = mediante aprovação SM
05/07/2017 15:43 - DOUGLAS | USUARIO = 11530 | CI = 21182 | STATUS = 3 | DATA = 05/07/2017 15:43 | MOTIVO_CANCELAMENTO = 
05/07/2017 17:39 - MARCELOGODOI | USUARIO = 11316 | CI = 21177 | STATUS = 7 | DATA = 05/07/2017 17:39 | MOTIVO_CANCELAMENTO = Valor da causa 48 mil. Condenação em sentença 47 mil. Conseguimos dividir em 7.
05/07/2017 17:40 - MARCELOGODOI | USUARIO = 11316 | CI = 21180 | STATUS = 7 | DATA = 05/07/2017 17:40 | MOTIVO_CANCELAMENTO = Valor da causa 100 mil. Condenação em sentença 39 mil. Dividimos em 7.
05/07/2017 17:43 - MARCELOGODOI | USUARIO = 11316 | CI = 21181 | STATUS = 7 | DATA = 05/07/2017 17:43 | MOTIVO_CANCELAMENTO = Valor da causa 52 mil. Condenado em sentença a 86 mil. Dividimos em 7.

Esse é um dos casos de seguranças (porteiros, vigias) que faziam abastecimento no antigo posto, próximo à portaria de saída.
05/07/2017 18:10 - CHRISTIANO | USUARIO = 11570 | CI = 21165 | STATUS = 3 | DATA = 05/07/2017 18:10 | MOTIVO_CANCELAMENTO = 
05/07/2017 18:11 - CHRISTIANO | USUARIO = 11570 | CI = 21166 | STATUS = 3 | DATA = 05/07/2017 18:11 | MOTIVO_CANCELAMENTO = 
05/07/2017 18:11 - CHRISTIANO | USUARIO = 11570 | CI = 21182 | STATUS = 3 | DATA = 05/07/2017 18:11 | MOTIVO_CANCELAMENTO = 
05/07/2017 18:11 - CHRISTIANO | USUARIO = 11570 | CI = 21167 | STATUS = 3 | DATA = 05/07/2017 18:11 | MOTIVO_CANCELAMENTO = 
05/07/2017 18:11 - CHRISTIANO | USUARIO = 11570 | CI = 21177 | STATUS = 3 | DATA = 05/07/2017 18:11 | MOTIVO_CANCELAMENTO = 
