02/08/2016 16:19 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/08/2016 16:19
02/08/2016 16:30 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 02/08/2016 16:30
02/08/2016 16:40 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/08/2016 16:40
02/08/2016 16:44 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/08/2016 16:44
02/08/2016 16:50 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2016 16:50
02/08/2016 17:04 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 02/08/2016 17:04
02/08/2016 18:33 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/08/2016 18:33
02/08/2016 22:23 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/08/2016 22:23
03/08/2016 01:59 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2016 1:59
03/08/2016 07:03 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2016 7:03
03/08/2016 07:06 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2016 7:06
03/08/2016 07:11 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2016 7:11
03/08/2016 07:16 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 03/08/2016 7:16
03/08/2016 07:22 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/08/2016 7:22
03/08/2016 07:44 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 03/08/2016 7:44
03/08/2016 07:50 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 03/08/2016 7:50
03/08/2016 07:51 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/08/2016 7:51
03/08/2016 07:54 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/08/2016 7:54
03/08/2016 07:55 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/08/2016 7:55
03/08/2016 08:14 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/08/2016 8:14
03/08/2016 08:15 - TIAGOCHIMINI | ID_USUARIO = 11296 | DATA_LOGIN = 03/08/2016 8:15
03/08/2016 08:23 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/08/2016 8:23
03/08/2016 08:28 - TIAGOCHIMINI | ID_USUARIO = 11296 | DATA_LOGIN = 03/08/2016 8:28
03/08/2016 08:41 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2016 8:41
03/08/2016 08:42 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/08/2016 8:42
03/08/2016 08:52 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/08/2016 8:52
03/08/2016 08:54 - MATHEUSUZELOTTO | ID_USUARIO = 11309 | DATA_LOGIN = 03/08/2016 8:54
03/08/2016 08:55 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2016 8:55
03/08/2016 08:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2016 8:56
03/08/2016 08:57 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 03/08/2016 8:57
03/08/2016 09:02 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 03/08/2016 9:02
03/08/2016 09:03 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/08/2016 9:03
03/08/2016 09:03 - ROSEMEIRESGOTI | ID_USUARIO = 11307 | DATA_LOGIN = 03/08/2016 9:03
03/08/2016 09:19 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 03/08/2016 9:19
03/08/2016 09:27 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 03/08/2016 9:27
03/08/2016 09:38 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 03/08/2016 9:38
03/08/2016 09:39 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2016 9:39
03/08/2016 09:41 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/08/2016 9:41
03/08/2016 09:42 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/08/2016 9:42
03/08/2016 09:45 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 03/08/2016 9:45
03/08/2016 09:47 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/08/2016 9:47
03/08/2016 09:49 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 03/08/2016 9:49
03/08/2016 09:52 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 03/08/2016 9:52
03/08/2016 09:53 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/08/2016 9:53
03/08/2016 10:00 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 03/08/2016 10:00
03/08/2016 10:00 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/08/2016 10:00
03/08/2016 10:01 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/08/2016 10:01
03/08/2016 10:06 - ADEIR | ID_USUARIO = 10916 | DATA_LOGIN = 03/08/2016 10:06
03/08/2016 10:16 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/08/2016 10:16
03/08/2016 10:20 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 03/08/2016 10:20
03/08/2016 10:22 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 03/08/2016 10:22
03/08/2016 10:22 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 03/08/2016 10:22
03/08/2016 10:27 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 03/08/2016 10:27
03/08/2016 10:27 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/08/2016 10:27
03/08/2016 10:32 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 03/08/2016 10:32
03/08/2016 10:34 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 03/08/2016 10:34
03/08/2016 10:43 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 03/08/2016 10:43
03/08/2016 11:22 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 03/08/2016 11:22
03/08/2016 11:31 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/08/2016 11:31
03/08/2016 11:36 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/08/2016 11:36
03/08/2016 11:41 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/08/2016 11:41
03/08/2016 11:55 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2016 11:55
03/08/2016 11:59 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 03/08/2016 11:59
03/08/2016 11:59 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2016 11:59
03/08/2016 12:14 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/08/2016 12:14
03/08/2016 12:29 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 03/08/2016 12:29
03/08/2016 12:48 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 03/08/2016 12:48
03/08/2016 13:07 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 03/08/2016 13:07
03/08/2016 13:09 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2016 13:09
03/08/2016 13:13 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 03/08/2016 13:13
03/08/2016 13:14 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/08/2016 13:14
03/08/2016 13:20 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 03/08/2016 13:20
03/08/2016 13:24 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/08/2016 13:24
03/08/2016 13:27 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 03/08/2016 13:27
03/08/2016 13:31 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/08/2016 13:31
