04/05/2016 07:42 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/05/2016 7:42
04/05/2016 08:30 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 04/05/2016 8:30
04/05/2016 08:52 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/05/2016 8:52
04/05/2016 08:56 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/05/2016 8:56
04/05/2016 08:59 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/05/2016 8:59
04/05/2016 09:14 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 04/05/2016 9:14
04/05/2016 09:20 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 04/05/2016 9:20
04/05/2016 09:27 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/05/2016 9:27
04/05/2016 09:29 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/05/2016 9:29
04/05/2016 09:30 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/05/2016 9:30
04/05/2016 09:42 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 04/05/2016 9:42
04/05/2016 09:55 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/05/2016 9:55
04/05/2016 09:55 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/05/2016 9:55
04/05/2016 10:09 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 04/05/2016 10:09
04/05/2016 10:11 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/05/2016 10:11
04/05/2016 10:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2016 10:11
04/05/2016 10:16 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/05/2016 10:16
04/05/2016 10:17 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 04/05/2016 10:17
04/05/2016 10:31 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/05/2016 10:31
04/05/2016 10:37 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 04/05/2016 10:37
