04/06/2019 10:53 - LUCIANOHENRIQUE | ID_USUARIO = 11110 | DATA_LOGIN = 04/06/2019 10:53
04/06/2019 11:33 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 04/06/2019 11:33
04/06/2019 12:02 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 04/06/2019 12:02
04/06/2019 12:11 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/06/2019 12:11
04/06/2019 12:40 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/06/2019 12:40
04/06/2019 12:46 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 04/06/2019 12:46
04/06/2019 13:09 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 04/06/2019 13:09
04/06/2019 13:12 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/06/2019 13:12
04/06/2019 14:05 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/06/2019 14:05
04/06/2019 14:18 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/06/2019 14:18
04/06/2019 14:30 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 04/06/2019 14:30
04/06/2019 14:39 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/06/2019 14:39
04/06/2019 15:09 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 04/06/2019 15:09
04/06/2019 15:09 - MARVYNALVES | ID_USUARIO = 11326 | DATA_LOGIN = 04/06/2019 15:09
04/06/2019 15:38 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/06/2019 15:38
04/06/2019 15:58 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 04/06/2019 15:58
04/06/2019 16:00 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/06/2019 16:00
04/06/2019 16:09 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/06/2019 16:09
04/06/2019 16:17 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/06/2019 16:17
04/06/2019 16:33 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 04/06/2019 16:33
05/06/2019 00:34 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/06/2019 0:34
05/06/2019 04:29 - ROBERTO | ID_USUARIO = 10845 | DATA_LOGIN = 05/06/2019 4:29
05/06/2019 06:53 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 05/06/2019 6:53
05/06/2019 07:10 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 05/06/2019 7:10
05/06/2019 07:11 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 05/06/2019 7:11
05/06/2019 07:11 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 05/06/2019 7:11
05/06/2019 07:14 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/06/2019 7:14
05/06/2019 07:18 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 05/06/2019 7:18
05/06/2019 07:19 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/06/2019 7:19
05/06/2019 07:19 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/06/2019 7:19
05/06/2019 07:21 - OSVALDOFLORES | ID_USUARIO = 11167 | DATA_LOGIN = 05/06/2019 7:21
05/06/2019 07:43 - THIAGO | ID_USUARIO = 10892 | DATA_LOGIN = 05/06/2019 7:43
05/06/2019 07:47 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 05/06/2019 7:47
05/06/2019 07:56 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/06/2019 7:56
05/06/2019 08:09 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/06/2019 8:09
05/06/2019 08:13 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 05/06/2019 8:13
05/06/2019 08:27 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 05/06/2019 8:27
05/06/2019 08:50 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/06/2019 8:49
05/06/2019 09:11 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/06/2019 9:11
05/06/2019 09:12 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 05/06/2019 9:12
05/06/2019 09:16 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/06/2019 9:16
05/06/2019 09:29 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/06/2019 9:29
05/06/2019 09:51 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/06/2019 9:51
05/06/2019 09:59 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/06/2019 9:59
05/06/2019 10:01 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/06/2019 10:01
05/06/2019 10:01 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/06/2019 10:01
05/06/2019 10:19 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/06/2019 10:19
05/06/2019 10:32 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 05/06/2019 10:32
