05/01/2017 11:28 - ZEZE | USUARIO = 10931 | CI = 18859 | STATUS = 7 | DATA = 05/01/2017 11:28 | MOTIVO_CANCELAMENTO = 
05/01/2017 11:28 - ZEZE | USUARIO = 10931 | CI = 18859 | STATUS = 3 | DATA = 05/01/2017 11:28 | MOTIVO_CANCELAMENTO = 
05/01/2017 11:28 - ZEZE | USUARIO = 10931 | CI = 18861 | STATUS = 7 | DATA = 05/01/2017 11:28 | MOTIVO_CANCELAMENTO = 
05/01/2017 11:28 - ZEZE | USUARIO = 10931 | CI = 18861 | STATUS = 3 | DATA = 05/01/2017 11:28 | MOTIVO_CANCELAMENTO = 
05/01/2017 11:28 - ZEZE | USUARIO = 10931 | CI = 18862 | STATUS = 7 | DATA = 05/01/2017 11:28 | MOTIVO_CANCELAMENTO = 
05/01/2017 11:28 - ZEZE | USUARIO = 10931 | CI = 18862 | STATUS = 3 | DATA = 05/01/2017 11:28 | MOTIVO_CANCELAMENTO = 
05/01/2017 11:29 - ZEZE | USUARIO = 10931 | CI = 18863 | STATUS = 7 | DATA = 05/01/2017 11:29 | MOTIVO_CANCELAMENTO = 
05/01/2017 11:29 - ZEZE | USUARIO = 10931 | CI = 18863 | STATUS = 3 | DATA = 05/01/2017 11:29 | MOTIVO_CANCELAMENTO = 
05/01/2017 13:37 - AREIAS | USUARIO = 10997 | CI = 18865 | STATUS = 7 | DATA = 05/01/2017 13:37 | MOTIVO_CANCELAMENTO = 
05/01/2017 13:52 - AREIAS | USUARIO = 10997 | CI = 18866 | STATUS = 7 | DATA = 05/01/2017 13:52 | MOTIVO_CANCELAMENTO = 
05/01/2017 13:53 - AREIAS | USUARIO = 10997 | CI = 18867 | STATUS = 7 | DATA = 05/01/2017 13:53 | MOTIVO_CANCELAMENTO = 
05/01/2017 14:32 - DOUGLAS | USUARIO = 11530 | CI = 18865 | STATUS = 3 | DATA = 05/01/2017 14:32 | MOTIVO_CANCELAMENTO = 
05/01/2017 14:32 - DOUGLAS | USUARIO = 11530 | CI = 18867 | STATUS = 3 | DATA = 05/01/2017 14:32 | MOTIVO_CANCELAMENTO = 
05/01/2017 14:32 - DOUGLAS | USUARIO = 11530 | CI = 18866 | STATUS = 3 | DATA = 05/01/2017 14:32 | MOTIVO_CANCELAMENTO = 
05/01/2017 15:21 - AREIAS | USUARIO = 10997 | CI = 18868 | STATUS = 7 | DATA = 05/01/2017 15:21 | MOTIVO_CANCELAMENTO = 
05/01/2017 15:21 - AREIAS | USUARIO = 10997 | CI = 18869 | STATUS = 7 | DATA = 05/01/2017 15:21 | MOTIVO_CANCELAMENTO = 
05/01/2017 15:21 - AREIAS | USUARIO = 10997 | CI = 18870 | STATUS = 7 | DATA = 05/01/2017 15:21 | MOTIVO_CANCELAMENTO = 
05/01/2017 15:21 - AREIAS | USUARIO = 10997 | CI = 18871 | STATUS = 7 | DATA = 05/01/2017 15:21 | MOTIVO_CANCELAMENTO = 
05/01/2017 15:21 - AREIAS | USUARIO = 10997 | CI = 18872 | STATUS = 7 | DATA = 05/01/2017 15:21 | MOTIVO_CANCELAMENTO = 
