07/06/2017 07:26 - CHRISTIANO | USUARIO = 11570 | CI = 20847 | STATUS = 3 | DATA = 07/06/2017 7:26 | MOTIVO_CANCELAMENTO = 
07/06/2017 07:27 - CHRISTIANO | USUARIO = 11570 | CI = 20840 | STATUS = 3 | DATA = 07/06/2017 7:27 | MOTIVO_CANCELAMENTO = 
07/06/2017 07:42 - AREIAS | USUARIO = 10997 | CI = 20853 | STATUS = 7 | DATA = 07/06/2017 7:42 | MOTIVO_CANCELAMENTO = 
07/06/2017 09:46 - AREIAS | USUARIO = 10997 | CI = 20859 | STATUS = 7 | DATA = 07/06/2017 9:46 | MOTIVO_CANCELAMENTO = 
07/06/2017 09:46 - AREIAS | USUARIO = 10997 | CI = 20861 | STATUS = 7 | DATA = 07/06/2017 9:46 | MOTIVO_CANCELAMENTO = 
07/06/2017 09:46 - AREIAS | USUARIO = 10997 | CI = 20862 | STATUS = 7 | DATA = 07/06/2017 9:46 | MOTIVO_CANCELAMENTO = 
07/06/2017 10:01 - JT | USUARIO = 10823 | CI = 20860 | STATUS = 3 | DATA = 07/06/2017 10:01 | MOTIVO_CANCELAMENTO = 
07/06/2017 10:56 - ZEZE | USUARIO = 10931 | CI = 20864 | STATUS = 3 | DATA = 07/06/2017 10:56 | MOTIVO_CANCELAMENTO = 
07/06/2017 11:55 - TOM | USUARIO = 10831 | CI = 20859 | STATUS = 3 | DATA = 07/06/2017 11:55 | MOTIVO_CANCELAMENTO = 
07/06/2017 15:49 - DOUGLAS | USUARIO = 11530 | CI = 20858 | STATUS = 3 | DATA = 07/06/2017 15:49 | MOTIVO_CANCELAMENTO = 
07/06/2017 15:56 - ZEZE | USUARIO = 10931 | CI = 20868 | STATUS = 7 | DATA = 07/06/2017 15:56 | MOTIVO_CANCELAMENTO = 
07/06/2017 15:56 - ZEZE | USUARIO = 10931 | CI = 20868 | STATUS = 3 | DATA = 07/06/2017 15:56 | MOTIVO_CANCELAMENTO = 
07/06/2017 15:56 - ZEZE | USUARIO = 10931 | CI = 20869 | STATUS = 7 | DATA = 07/06/2017 15:56 | MOTIVO_CANCELAMENTO = 
07/06/2017 15:56 - ZEZE | USUARIO = 10931 | CI = 20869 | STATUS = 3 | DATA = 07/06/2017 15:56 | MOTIVO_CANCELAMENTO = 
07/06/2017 16:46 - MARCELOGODOI | USUARIO = 11316 | CI = 20852 | STATUS = 7 | DATA = 07/06/2017 16:46 | MOTIVO_CANCELAMENTO = 
07/06/2017 16:47 - MARCELOGODOI | USUARIO = 11316 | CI = 20865 | STATUS = 7 | DATA = 07/06/2017 16:47 | MOTIVO_CANCELAMENTO = 
07/06/2017 16:47 - MARCELOGODOI | USUARIO = 11316 | CI = 20866 | STATUS = 7 | DATA = 07/06/2017 16:47 | MOTIVO_CANCELAMENTO = 
08/06/2017 07:18 - AREIAS | USUARIO = 10997 | CI = 20863 | STATUS = 7 | DATA = 08/06/2017 7:18 | MOTIVO_CANCELAMENTO = 
