06/12/2016 16:34 - DOUGLAS | USUARIO = 11530 | CI = 18466 | STATUS = 3 | DATA = 06/12/2016 16:34 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:34 - DOUGLAS | USUARIO = 11530 | CI = 18467 | STATUS = 3 | DATA = 06/12/2016 16:34 | MOTIVO_CANCELAMENTO = 
06/12/2016 16:34 - DOUGLAS | USUARIO = 11530 | CI = 18477 | STATUS = 3 | DATA = 06/12/2016 16:34 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:17 - CHRISTIANO | USUARIO = 11570 | CI = 18466 | STATUS = 3 | DATA = 07/12/2016 7:17 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:17 - CHRISTIANO | USUARIO = 11570 | CI = 18501 | STATUS = 3 | DATA = 07/12/2016 7:17 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:17 - CHRISTIANO | USUARIO = 11570 | CI = 18487 | STATUS = 3 | DATA = 07/12/2016 7:17 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:17 - CHRISTIANO | USUARIO = 11570 | CI = 18490 | STATUS = 3 | DATA = 07/12/2016 7:17 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:18 - CHRISTIANO | USUARIO = 11570 | CI = 18467 | STATUS = 3 | DATA = 07/12/2016 7:18 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:18 - CHRISTIANO | USUARIO = 11570 | CI = 18494 | STATUS = 3 | DATA = 07/12/2016 7:18 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:18 - CHRISTIANO | USUARIO = 11570 | CI = 18477 | STATUS = 3 | DATA = 07/12/2016 7:18 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:18 - CHRISTIANO | USUARIO = 11570 | CI = 18482 | STATUS = 3 | DATA = 07/12/2016 7:18 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:18 - CHRISTIANO | USUARIO = 11570 | CI = 18491 | STATUS = 3 | DATA = 07/12/2016 7:18 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:52 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18504 | STATUS = 3 | DATA = 07/12/2016 7:52 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:53 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18502 | STATUS = 7 | DATA = 07/12/2016 7:53 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:53 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18502 | STATUS = 3 | DATA = 07/12/2016 7:53 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:53 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18489 | STATUS = 3 | DATA = 07/12/2016 7:53 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:53 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18471 | STATUS = 7 | DATA = 07/12/2016 7:53 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:53 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18471 | STATUS = 3 | DATA = 07/12/2016 7:53 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:54 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18481 | STATUS = 7 | DATA = 07/12/2016 7:54 | MOTIVO_CANCELAMENTO = 
07/12/2016 07:59 - DOUGLAS | USUARIO = 11530 | CI = 18481 | STATUS = 3 | DATA = 07/12/2016 7:59 | MOTIVO_CANCELAMENTO = 
07/12/2016 09:21 - DORACI | USUARIO = 10886 | CI = 18503 | STATUS = 7 | DATA = 07/12/2016 9:21 | MOTIVO_CANCELAMENTO = 
07/12/2016 09:21 - DORACI | USUARIO = 10886 | CI = 18503 | STATUS = 3 | DATA = 07/12/2016 9:21 | MOTIVO_CANCELAMENTO = 
07/12/2016 09:37 - DORACI | USUARIO = 10886 | CI = 18506 | STATUS = 7 | DATA = 07/12/2016 9:37 | MOTIVO_CANCELAMENTO = 
07/12/2016 09:37 - DORACI | USUARIO = 10886 | CI = 18506 | STATUS = 3 | DATA = 07/12/2016 9:37 | MOTIVO_CANCELAMENTO = 
07/12/2016 11:09 - HEBERTLUCIO | USUARIO = 11635 | CI = 18410 | STATUS = 3 | DATA = 07/12/2016 11:09 | MOTIVO_CANCELAMENTO = 
