07/01/2016 08:53 - AREIAS | USUARIO = 10997 | CI = 14438 | STATUS = 3 | DATA = 07/01/2016 8:53 | MOTIVO_CANCELAMENTO = 
07/01/2016 08:54 - AREIAS | USUARIO = 10997 | CI = 14439 | STATUS = 7 | DATA = 07/01/2016 8:54 | MOTIVO_CANCELAMENTO = 
07/01/2016 08:54 - AREIAS | USUARIO = 10997 | CI = 14439 | STATUS = 3 | DATA = 07/01/2016 8:54 | MOTIVO_CANCELAMENTO = 
07/01/2016 12:20 - ZEZE | USUARIO = 10931 | CI = 14433 | STATUS = 3 | DATA = 07/01/2016 12:20 | MOTIVO_CANCELAMENTO = 
07/01/2016 12:21 - ZEZE | USUARIO = 10931 | CI = 14434 | STATUS = 7 | DATA = 07/01/2016 12:20 | MOTIVO_CANCELAMENTO = 
07/01/2016 12:21 - ZEZE | USUARIO = 10931 | CI = 14434 | STATUS = 3 | DATA = 07/01/2016 12:20 | MOTIVO_CANCELAMENTO = 
07/01/2016 12:22 - ZEZE | USUARIO = 10931 | CI = 14435 | STATUS = 7 | DATA = 07/01/2016 12:22 | MOTIVO_CANCELAMENTO = 
07/01/2016 12:22 - ZEZE | USUARIO = 10931 | CI = 14437 | STATUS = 3 | DATA = 07/01/2016 12:22 | MOTIVO_CANCELAMENTO = 
07/01/2016 12:56 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14436 | STATUS = 7 | DATA = 07/01/2016 12:56 | MOTIVO_CANCELAMENTO = 
07/01/2016 12:56 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14436 | STATUS = 3 | DATA = 07/01/2016 12:56 | MOTIVO_CANCELAMENTO = 
07/01/2016 13:05 - EDUARDO | USUARIO = 10844 | CI = 14435 | STATUS = 3 | DATA = 07/01/2016 13:05 | MOTIVO_CANCELAMENTO = 
07/01/2016 13:06 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14416 | STATUS = 7 | DATA = 07/01/2016 13:06 | MOTIVO_CANCELAMENTO = 
07/01/2016 13:06 - EDUARDO | USUARIO = 10844 | CI = 14440 | STATUS = 3 | DATA = 07/01/2016 13:06 | MOTIVO_CANCELAMENTO = 
07/01/2016 13:07 - EDUARDO | USUARIO = 10844 | CI = 14416 | STATUS = 3 | DATA = 07/01/2016 13:07 | MOTIVO_CANCELAMENTO = 
07/01/2016 13:37 - CAMARA | USUARIO = 10841 | CI = 14444 | STATUS = 3 | DATA = 07/01/2016 13:37 | MOTIVO_CANCELAMENTO = 
07/01/2016 13:42 - LUIDE | USUARIO = 10836 | CI = 14441 | STATUS = 3 | DATA = 07/01/2016 13:42 | MOTIVO_CANCELAMENTO = 
07/01/2016 13:43 - LUIDE | USUARIO = 10836 | CI = 14445 | STATUS = 3 | DATA = 07/01/2016 13:43 | MOTIVO_CANCELAMENTO = 
07/01/2016 14:50 - AREIAS | USUARIO = 10997 | CI = 14449 | STATUS = 7 | DATA = 07/01/2016 14:50 | MOTIVO_CANCELAMENTO = 
07/01/2016 14:50 - AREIAS | USUARIO = 10997 | CI = 14449 | STATUS = 3 | DATA = 07/01/2016 14:50 | MOTIVO_CANCELAMENTO = 
07/01/2016 15:10 - LUIDE | USUARIO = 10836 | CI = 14447 | STATUS = 3 | DATA = 07/01/2016 15:10 | MOTIVO_CANCELAMENTO = 
07/01/2016 15:59 - JT | USUARIO = 10823 | CI = 14446 | STATUS = 7 | DATA = 07/01/2016 15:59 | MOTIVO_CANCELAMENTO = 
07/01/2016 15:59 - JT | USUARIO = 10823 | CI = 14446 | STATUS = 3 | DATA = 07/01/2016 15:59 | MOTIVO_CANCELAMENTO = 
07/01/2016 15:59 - JT | USUARIO = 10823 | CI = 14443 | STATUS = 3 | DATA = 07/01/2016 15:59 | MOTIVO_CANCELAMENTO = 
07/01/2016 20:08 - FERNANDO | USUARIO = 10842 | CI = 14440 | STATUS = 3 | DATA = 07/01/2016 20:08 | MOTIVO_CANCELAMENTO = 
07/01/2016 20:08 - FERNANDO | USUARIO = 10842 | CI = 14435 | STATUS = 3 | DATA = 07/01/2016 20:08 | MOTIVO_CANCELAMENTO = 
07/01/2016 20:09 - FERNANDO | USUARIO = 10842 | CI = 14416 | STATUS = 3 | DATA = 07/01/2016 20:09 | MOTIVO_CANCELAMENTO = 
08/01/2016 07:42 - MARTA | USUARIO = 10847 | CI = 14450 | STATUS = 3 | DATA = 08/01/2016 7:42 | MOTIVO_CANCELAMENTO = aprovado.
08/01/2016 07:47 - JG | USUARIO = 10849 | CI = 14219 | STATUS = 3 | DATA = 08/01/2016 7:47 | MOTIVO_CANCELAMENTO = ok
08/01/2016 08:12 - JG | USUARIO = 10849 | CI = 14458 | STATUS = 3 | DATA = 08/01/2016 8:12 | MOTIVO_CANCELAMENTO = ok
08/01/2016 08:13 - JG | USUARIO = 10849 | CI = 14459 | STATUS = 3 | DATA = 08/01/2016 8:13 | MOTIVO_CANCELAMENTO = ok
