29/10/2015 13:47 - SIDINEI | ID =  | CI = 13752 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 63.60
29/10/2015 13:47 - SIDINEI | ID =  | CI = 13752 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 126.05
29/10/2015 13:47 - SIDINEI | ID =  | CI = 13752 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 14.00
29/10/2015 13:47 - SIDINEI | ID =  | CI = 13752 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 500.00
30/10/2015 08:04 - LUCIANOHENRIQUE | ID =  | CI = 13757 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 17.42
30/10/2015 08:04 - LUCIANOHENRIQUE | ID =  | CI = 13757 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 92.27
30/10/2015 08:04 - LUCIANOHENRIQUE | ID =  | CI = 13757 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 142.00
30/10/2015 08:06 - LUCIANOHENRIQUE | ID =  | CI = 13758 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 17.43
30/10/2015 08:06 - LUCIANOHENRIQUE | ID =  | CI = 13758 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 92.27
30/10/2015 08:06 - LUCIANOHENRIQUE | ID =  | CI = 13758 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 142.00
30/10/2015 09:27 - PARDAL | ID =  | CI = 13759 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 101.65
30/10/2015 10:45 - FRANCISCO | ID =  | CI = 13761 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 27.00
30/10/2015 11:00 - FRANCISCO | ID =  | CI = 13762 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 83.01
30/10/2015 11:00 - FRANCISCO | ID =  | CI = 13762 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 113.41
30/10/2015 11:00 - FRANCISCO | ID =  | CI = 13762 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 15.00
30/10/2015 13:57 - MARTA | ID =  | CI = 13763 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 83.20
30/10/2015 13:57 - MARTA | ID =  | CI = 13763 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 3.00
30/10/2015 13:57 - MARTA | ID =  | CI = 13763 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
30/10/2015 14:10 - LUZMARINA | ID =  | CI = 13765 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 18.50
30/10/2015 14:31 - ELTON | ID =  | CI = 13766 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 122.01
30/10/2015 14:31 - ELTON | ID =  | CI = 13766 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 53.60
