01/09/2016 07:17 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17212 | STATUS = 5 | DATA = 01/09/2016 7:17 | MOTIVO_CANCELAMENTO = Separar C.I. por falta de cupom fiscal
08/09/2016 11:49 - JG | USUARIO = 10849 | CI = 17341 | STATUS = 3 | DATA = 08/09/2016 11:49 | MOTIVO_CANCELAMENTO = ok
08/09/2016 11:49 - JG | USUARIO = 10849 | CI = 17346 | STATUS = 3 | DATA = 08/09/2016 11:49 | MOTIVO_CANCELAMENTO = 
08/09/2016 13:56 - ACIR | USUARIO = 10839 | CI = 17351 | STATUS = 3 | DATA = 08/09/2016 13:56 | MOTIVO_CANCELAMENTO = 
08/09/2016 14:35 - LUIDE | USUARIO = 10836 | CI = 17352 | STATUS = 7 | DATA = 08/09/2016 14:35 | MOTIVO_CANCELAMENTO = 
08/09/2016 14:50 - DOUGLAS | USUARIO = 11530 | CI = 17352 | STATUS = 3 | DATA = 08/09/2016 14:50 | MOTIVO_CANCELAMENTO = 
08/09/2016 15:02 - SYLVIO | USUARIO = 10914 | CI = 17352 | STATUS = 3 | DATA = 08/09/2016 15:02 | MOTIVO_CANCELAMENTO = 
08/09/2016 15:02 - SYLVIO | USUARIO = 10914 | CI = 17348 | STATUS = 3 | DATA = 08/09/2016 15:02 | MOTIVO_CANCELAMENTO = 
08/09/2016 15:02 - CHRISTIANO | USUARIO = 11570 | CI = 17337 | STATUS = 3 | DATA = 08/09/2016 15:02 | MOTIVO_CANCELAMENTO = 
08/09/2016 15:02 - SYLVIO | USUARIO = 10914 | CI = 17340 | STATUS = 3 | DATA = 08/09/2016 15:02 | MOTIVO_CANCELAMENTO = 
08/09/2016 15:03 - CHRISTIANO | USUARIO = 11570 | CI = 17340 | STATUS = 3 | DATA = 08/09/2016 15:03 | MOTIVO_CANCELAMENTO = 
08/09/2016 15:03 - CHRISTIANO | USUARIO = 11570 | CI = 17343 | STATUS = 3 | DATA = 08/09/2016 15:03 | MOTIVO_CANCELAMENTO = 
08/09/2016 15:03 - CHRISTIANO | USUARIO = 11570 | CI = 17345 | STATUS = 3 | DATA = 08/09/2016 15:03 | MOTIVO_CANCELAMENTO = 
08/09/2016 16:03 - ZEZE | USUARIO = 10931 | CI = 17349 | STATUS = 3 | DATA = 08/09/2016 16:03 | MOTIVO_CANCELAMENTO = 
08/09/2016 16:32 - ZEZE | USUARIO = 10931 | CI = 17357 | STATUS = 7 | DATA = 08/09/2016 16:32 | MOTIVO_CANCELAMENTO = 
08/09/2016 16:32 - ZEZE | USUARIO = 10931 | CI = 17357 | STATUS = 3 | DATA = 08/09/2016 16:32 | MOTIVO_CANCELAMENTO = 
