01/02/2018 16:41 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 01/02/2018 16:41
01/02/2018 16:45 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/02/2018 16:45
01/02/2018 16:47 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/02/2018 16:47
01/02/2018 16:49 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/02/2018 16:49
01/02/2018 22:02 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 01/02/2018 22:02
02/02/2018 07:09 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/02/2018 7:09
02/02/2018 07:14 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/02/2018 7:14
02/02/2018 07:19 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/02/2018 7:19
02/02/2018 07:20 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/02/2018 7:20
02/02/2018 07:21 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 02/02/2018 7:21
02/02/2018 07:26 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/02/2018 7:26
02/02/2018 07:31 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/02/2018 7:31
02/02/2018 07:33 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/02/2018 7:33
02/02/2018 07:34 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/02/2018 7:34
02/02/2018 07:44 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 02/02/2018 7:44
02/02/2018 07:46 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/02/2018 7:46
02/02/2018 07:47 - FABRICIOTOMASETTO | ID_USUARIO = 6954 | DATA_LOGIN = 02/02/2018 7:47
02/02/2018 07:48 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/02/2018 7:48
02/02/2018 07:49 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/02/2018 7:49
02/02/2018 07:51 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/02/2018 7:51
02/02/2018 07:52 - THIAGO | ID_USUARIO = 10892 | DATA_LOGIN = 02/02/2018 7:52
02/02/2018 07:54 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 02/02/2018 7:54
02/02/2018 07:54 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 02/02/2018 7:54
02/02/2018 07:55 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/02/2018 7:55
02/02/2018 07:57 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/02/2018 7:57
02/02/2018 07:58 - CAIOAUGUSTO | ID_USUARIO = 11320 | DATA_LOGIN = 02/02/2018 7:58
02/02/2018 08:01 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 02/02/2018 8:01
02/02/2018 08:01 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/02/2018 8:01
02/02/2018 08:12 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/02/2018 8:12
02/02/2018 08:14 - MATHEUSRODRIGUES | ID_USUARIO = 11533 | DATA_LOGIN = 02/02/2018 8:14
02/02/2018 08:15 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/02/2018 8:15
02/02/2018 08:16 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 02/02/2018 8:16
02/02/2018 08:17 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 02/02/2018 8:17
02/02/2018 08:18 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/02/2018 8:18
02/02/2018 08:27 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 02/02/2018 8:27
02/02/2018 08:35 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/02/2018 8:35
02/02/2018 08:35 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/02/2018 8:35
02/02/2018 08:48 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 02/02/2018 8:48
