02/03/2017 11:06 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/03/2017 11:06
02/03/2017 11:07 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 02/03/2017 11:07
02/03/2017 11:11 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/03/2017 11:11
02/03/2017 11:18 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2017 11:18
02/03/2017 11:23 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 02/03/2017 11:23
02/03/2017 11:24 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/03/2017 11:24
02/03/2017 11:26 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/03/2017 11:26
02/03/2017 11:27 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/03/2017 11:27
02/03/2017 11:27 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 02/03/2017 11:27
02/03/2017 11:34 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/03/2017 11:34
02/03/2017 11:48 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/03/2017 11:48
02/03/2017 11:55 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/03/2017 11:55
02/03/2017 11:56 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/03/2017 11:56
02/03/2017 12:00 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2017 12:00
02/03/2017 12:28 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 02/03/2017 12:28
02/03/2017 12:43 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 02/03/2017 12:43
02/03/2017 12:46 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2017 12:46
02/03/2017 13:00 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/03/2017 13:00
02/03/2017 13:07 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 02/03/2017 13:07
02/03/2017 13:23 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/03/2017 13:23
02/03/2017 13:34 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/03/2017 13:34
02/03/2017 13:36 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/03/2017 13:36
02/03/2017 13:40 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 02/03/2017 13:40
02/03/2017 13:45 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 02/03/2017 13:45
02/03/2017 13:47 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2017 13:47
02/03/2017 14:04 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 02/03/2017 14:04
02/03/2017 14:06 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2017 14:06
02/03/2017 14:08 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 02/03/2017 14:08
02/03/2017 14:09 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2017 14:09
02/03/2017 14:16 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 02/03/2017 14:16
02/03/2017 14:21 - ANGELO | ID_USUARIO = 10969 | DATA_LOGIN = 02/03/2017 14:21
02/03/2017 14:33 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/03/2017 14:33
02/03/2017 14:40 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/03/2017 14:40
02/03/2017 14:54 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/03/2017 14:54
02/03/2017 15:01 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/03/2017 15:01
02/03/2017 15:02 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/03/2017 15:02
02/03/2017 15:04 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2017 15:04
02/03/2017 15:13 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/03/2017 15:13
02/03/2017 15:20 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/03/2017 15:20
02/03/2017 15:39 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/03/2017 15:39
02/03/2017 15:48 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/03/2017 15:48
02/03/2017 15:53 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/03/2017 15:53
02/03/2017 15:55 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 02/03/2017 15:55
02/03/2017 16:18 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2017 16:18
02/03/2017 16:19 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2017 16:19
02/03/2017 16:28 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/03/2017 16:28
02/03/2017 16:48 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/03/2017 16:48
02/03/2017 16:53 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 02/03/2017 16:53
02/03/2017 16:53 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/03/2017 16:53
02/03/2017 16:54 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2017 16:54
02/03/2017 17:03 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2017 17:03
02/03/2017 17:08 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 02/03/2017 17:08
02/03/2017 17:12 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 02/03/2017 17:12
02/03/2017 17:26 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/03/2017 17:26
02/03/2017 17:53 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/03/2017 17:53
