05/03/2018 15:51 - MARCELOGODOI | USUARIO = 11316 | CI = 23975 | STATUS = 7 | DATA = 05/03/2018 15:51 | MOTIVO_CANCELAMENTO = 
05/03/2018 15:52 - MARCELOGODOI | USUARIO = 11316 | CI = 23985 | STATUS = 7 | DATA = 05/03/2018 15:52 | MOTIVO_CANCELAMENTO = 
05/03/2018 15:52 - MARCELOGODOI | USUARIO = 11316 | CI = 23992 | STATUS = 7 | DATA = 05/03/2018 15:52 | MOTIVO_CANCELAMENTO = 
05/03/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 24003 | STATUS = 7 | DATA = 05/03/2018 15:54 | MOTIVO_CANCELAMENTO = 
05/03/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 24003 | STATUS = 3 | DATA = 05/03/2018 15:54 | MOTIVO_CANCELAMENTO = 
05/03/2018 15:58 - AREIAS | USUARIO = 10997 | CI = 24001 | STATUS = 7 | DATA = 05/03/2018 15:58 | MOTIVO_CANCELAMENTO = 
05/03/2018 15:58 - AREIAS | USUARIO = 10997 | CI = 24001 | STATUS = 3 | DATA = 05/03/2018 15:58 | MOTIVO_CANCELAMENTO = 
05/03/2018 15:58 - AREIAS | USUARIO = 10997 | CI = 24002 | STATUS = 7 | DATA = 05/03/2018 15:58 | MOTIVO_CANCELAMENTO = 
05/03/2018 15:58 - AREIAS | USUARIO = 10997 | CI = 24002 | STATUS = 3 | DATA = 05/03/2018 15:58 | MOTIVO_CANCELAMENTO = 
05/03/2018 19:53 - DOUGLAS | USUARIO = 11530 | CI = 23946 | STATUS = 3 | DATA = 05/03/2018 19:53 | MOTIVO_CANCELAMENTO = 
05/03/2018 19:53 - DOUGLAS | USUARIO = 11530 | CI = 23978 | STATUS = 3 | DATA = 05/03/2018 19:53 | MOTIVO_CANCELAMENTO = mediante aprovação Sylvio malzoni
05/03/2018 19:54 - DOUGLAS | USUARIO = 11530 | CI = 23984 | STATUS = 3 | DATA = 05/03/2018 19:54 | MOTIVO_CANCELAMENTO = 
06/03/2018 07:33 - MARTA | USUARIO = 10847 | CI = 24004 | STATUS = 3 | DATA = 06/03/2018 7:33 | MOTIVO_CANCELAMENTO = 
06/03/2018 07:56 - ROBERTO | USUARIO = 10845 | CI = 24000 | STATUS = 3 | DATA = 06/03/2018 7:56 | MOTIVO_CANCELAMENTO = 
06/03/2018 08:07 - TADEUMACHADO | USUARIO = 11594 | CI = 24006 | STATUS = 3 | DATA = 06/03/2018 8:07 | MOTIVO_CANCELAMENTO = 
06/03/2018 08:30 - ZEZE | USUARIO = 10931 | CI = 24007 | STATUS = 7 | DATA = 06/03/2018 8:30 | MOTIVO_CANCELAMENTO = 
06/03/2018 08:30 - ZEZE | USUARIO = 10931 | CI = 24007 | STATUS = 3 | DATA = 06/03/2018 8:30 | MOTIVO_CANCELAMENTO = 
