07/11/2018 08:24 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 07/11/2018 8:24
07/11/2018 08:46 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 07/11/2018 8:46
07/11/2018 08:50 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 07/11/2018 8:50
07/11/2018 08:52 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 07/11/2018 8:52
07/11/2018 08:59 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 07/11/2018 8:59
07/11/2018 09:22 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 07/11/2018 9:22
07/11/2018 09:31 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/11/2018 9:31
07/11/2018 09:32 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 07/11/2018 9:32
07/11/2018 09:51 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/11/2018 9:51
07/11/2018 11:14 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/11/2018 11:14
07/11/2018 11:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/11/2018 11:23
07/11/2018 11:41 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/11/2018 11:41
07/11/2018 13:04 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/11/2018 13:04
07/11/2018 13:06 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 07/11/2018 13:06
07/11/2018 13:15 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/11/2018 13:15
07/11/2018 13:18 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/11/2018 13:18
07/11/2018 13:25 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/11/2018 13:25
07/11/2018 13:26 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 07/11/2018 13:26
07/11/2018 13:27 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/11/2018 13:27
07/11/2018 13:32 - THIAGO | ID_USUARIO = 10892 | DATA_LOGIN = 07/11/2018 13:32
07/11/2018 13:38 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 07/11/2018 13:38
07/11/2018 13:41 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 07/11/2018 13:41
