20/08/2018 15:46 - KLEBER | ID =  | CI = 25112 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
20/08/2018 15:46 - KLEBER | ID =  | CI = 25112 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 66.20
20/08/2018 15:46 - KLEBER | ID =  | CI = 25112 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
20/08/2018 15:46 - KLEBER | ID =  | CI = 25112 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
20/08/2018 15:46 - KLEBER | ID =  | CI = 25112 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
21/08/2018 16:10 - NORIVAL | ID =  | CI = 25120 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 81.19
21/08/2018 16:10 - NORIVAL | ID =  | CI = 25120 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 62.70
22/08/2018 08:14 - OTAVIOGIRO | ID =  | CI = 25123 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 83.20
22/08/2018 08:28 - OTAVIOGIRO | ID =  | CI = 25124 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 61.92
22/08/2018 08:28 - OTAVIOGIRO | ID =  | CI = 25124 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 39.90
22/08/2018 08:28 - OTAVIOGIRO | ID =  | CI = 25124 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
22/08/2018 08:40 - NORIVAL | ID =  | CI = 25125 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 199.04
22/08/2018 10:03 - OTAVIOGIRO | ID =  | CI = 25128 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 31.00
22/08/2018 10:08 - OTAVIOGIRO | ID =  | CI = 25130 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 130.01
22/08/2018 10:08 - OTAVIOGIRO | ID =  | CI = 25130 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 98.46
22/08/2018 10:08 - OTAVIOGIRO | ID =  | CI = 25130 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 298.00
23/08/2018 13:46 - NORIVAL | ID =  | CI = 25137 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 25.20
23/08/2018 15:20 - SANDRA | ID =  | CI = 25138 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
