06/03/2019 11:59 - EMERSON_SANCHES | ID_USUARIO = 419 | DATA_LOGIN = 06/03/2019 11:59
06/03/2019 12:53 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 06/03/2019 12:53
06/03/2019 12:57 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 06/03/2019 12:57
06/03/2019 13:15 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 13:15
06/03/2019 13:18 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 13:18
06/03/2019 13:25 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 06/03/2019 13:25
06/03/2019 13:26 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/03/2019 13:26
06/03/2019 13:34 - VINICIUSSANTOS | ID_USUARIO = 7044 | DATA_LOGIN = 06/03/2019 13:34
06/03/2019 13:35 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 06/03/2019 13:35
06/03/2019 13:38 - EMERSON_SANCHES | ID_USUARIO = 419 | DATA_LOGIN = 06/03/2019 13:38
06/03/2019 13:39 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 06/03/2019 13:39
06/03/2019 13:44 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/03/2019 13:44
06/03/2019 14:07 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/03/2019 14:07
06/03/2019 14:16 - TATIANEPASSADOR | ID_USUARIO = 11350 | DATA_LOGIN = 06/03/2019 14:16
06/03/2019 14:19 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/03/2019 14:19
06/03/2019 14:28 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/03/2019 14:28
06/03/2019 14:33 - ERIKAOLIVEIRA | ID_USUARIO = 476 | DATA_LOGIN = 06/03/2019 14:33
06/03/2019 14:40 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 06/03/2019 14:40
06/03/2019 14:53 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 06/03/2019 14:53
06/03/2019 14:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 14:56
06/03/2019 14:57 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 06/03/2019 14:57
06/03/2019 15:14 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/03/2019 15:14
06/03/2019 15:16 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 06/03/2019 15:16
06/03/2019 15:26 - THIAGO | ID_USUARIO = 10892 | DATA_LOGIN = 06/03/2019 15:26
06/03/2019 15:27 - VINICIUSSANTOS | ID_USUARIO = 7044 | DATA_LOGIN = 06/03/2019 15:27
