19/12/2017 16:48 - ROGERINHO | ID =  | CI = 23104 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 39.50
19/12/2017 16:48 - ROGERINHO | ID =  | CI = 23104 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 50.00
20/12/2017 08:33 - NATACHAPASTRE | ID =  | CI = 23111 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 270.00
20/12/2017 08:33 - NATACHAPASTRE | ID =  | CI = 23111 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 545.12
20/12/2017 08:33 - NATACHAPASTRE | ID =  | CI = 23111 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 58.00
20/12/2017 10:10 - ROGERINHO | ID =  | CI = 23117 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 260.00
20/12/2017 10:10 - ROGERINHO | ID =  | CI = 23117 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 132.54
20/12/2017 10:10 - ROGERINHO | ID =  | CI = 23117 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 563.91
20/12/2017 10:14 - NATACHAPASTRE | ID =  | CI = 23118 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 270.00
20/12/2017 10:14 - NATACHAPASTRE | ID =  | CI = 23118 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 545.12
20/12/2017 10:14 - NATACHAPASTRE | ID =  | CI = 23118 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 58.00
21/12/2017 09:34 - REGI | ID =  | CI = 23134 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 174.00
21/12/2017 09:41 - REGI | ID =  | CI = 23135 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 140.00
21/12/2017 09:41 - REGI | ID =  | CI = 23135 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.00
21/12/2017 09:55 - REGI | ID = 20749 | CI = 23135 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 140.00
21/12/2017 09:55 - REGI | ID = 20750 | CI = 23135 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.00
21/12/2017 09:55 - REGI | ID = 20749 | CI = 23135 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 140.00
21/12/2017 09:55 - REGI | ID = 20750 | CI = 23135 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.00
21/12/2017 09:57 - REGI | ID = 20748 | CI = 23134 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 174.00
22/12/2017 07:41 - SANDRA | ID =  | CI = 23144 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 202.40
26/12/2017 08:34 - ROGERINHO | ID =  | CI = 23152 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 8.00
26/12/2017 08:42 - ROGERINHO | ID =  | CI = 23153 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
26/12/2017 08:42 - ROGERINHO | ID =  | CI = 23153 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 48.75
26/12/2017 15:02 - TOM | ID =  | CI = 23157 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 863.90
26/12/2017 15:02 - TOM | ID =  | CI = 23157 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 121.20
26/12/2017 15:02 - TOM | ID =  | CI = 23157 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 706.01
26/12/2017 15:02 - TOM | ID =  | CI = 23157 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 53.00
26/12/2017 15:02 - TOM | ID =  | CI = 23157 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 1045.39
26/12/2017 15:02 - TOM | ID =  | CI = 23157 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
27/12/2017 10:43 - ROGERINHO | ID =  | CI = 23161 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
27/12/2017 10:43 - ROGERINHO | ID =  | CI = 23161 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 40.50
28/12/2017 07:59 - ANGELO | ID =  | CI = 23164 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
28/12/2017 08:00 - ANGELO | ID = 20828 | CI = 23164 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
28/12/2017 08:04 - ANGELO | ID =  | CI = 23165 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
28/12/2017 08:12 - ANGELO | ID =  | CI = 23166 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
28/12/2017 08:18 - ANGELO | ID =  | CI = 23167 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.65
29/12/2017 10:54 - ROGERINHO | ID =  | CI = 23170 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.50
29/12/2017 14:09 - JENS | ID =  | CI = 23172 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
29/12/2017 14:09 - JENS | ID =  | CI = 23172 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 69.00
29/12/2017 14:09 - JENS | ID =  | CI = 23172 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 76.00
29/12/2017 14:09 - JENS | ID =  | CI = 23172 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 152.50
29/12/2017 14:23 - FABRICIOTOMASETTO | ID =  | CI = 23173 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
29/12/2017 14:23 - FABRICIOTOMASETTO | ID =  | CI = 23173 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.50
