03/05/2019 17:07 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 03/05/2019 17:07
03/05/2019 18:28 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 03/05/2019 18:28
03/05/2019 18:38 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/05/2019 18:38
03/05/2019 18:53 - ANITA | ID_USUARIO = 11002 | DATA_LOGIN = 03/05/2019 18:53
03/05/2019 19:00 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 19:00
04/05/2019 06:14 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2019 6:14
04/05/2019 07:26 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2019 7:26
04/05/2019 07:27 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/05/2019 7:27
04/05/2019 08:02 - ROBERTO | ID_USUARIO = 10845 | DATA_LOGIN = 04/05/2019 8:02
04/05/2019 09:13 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 04/05/2019 9:13
04/05/2019 09:17 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 04/05/2019 9:17
04/05/2019 10:48 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/05/2019 10:48
04/05/2019 10:51 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/05/2019 10:51
04/05/2019 12:26 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2019 12:26
04/05/2019 13:41 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2019 13:41
04/05/2019 13:53 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 04/05/2019 13:53
04/05/2019 14:44 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2019 14:44
04/05/2019 15:59 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2019 15:59
05/05/2019 01:24 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/05/2019 1:24
05/05/2019 19:14 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/05/2019 19:14
05/05/2019 22:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/05/2019 22:56
05/05/2019 22:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/05/2019 22:56
06/05/2019 07:13 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/05/2019 7:13
06/05/2019 07:15 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/05/2019 7:15
06/05/2019 07:17 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 06/05/2019 7:17
06/05/2019 07:32 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/05/2019 7:32
06/05/2019 07:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 7:56
06/05/2019 08:07 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 8:07
06/05/2019 08:14 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 06/05/2019 8:14
06/05/2019 08:18 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 06/05/2019 8:18
06/05/2019 08:19 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 8:19
06/05/2019 08:27 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 06/05/2019 8:27
06/05/2019 08:38 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/05/2019 8:38
06/05/2019 08:46 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/05/2019 8:46
06/05/2019 08:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 8:56
06/05/2019 08:57 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/05/2019 8:57
06/05/2019 09:09 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/05/2019 9:09
06/05/2019 09:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 9:10
06/05/2019 09:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 9:11
06/05/2019 09:11 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 06/05/2019 9:11
06/05/2019 09:12 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/05/2019 9:12
06/05/2019 10:05 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 10:05
06/05/2019 10:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 10:11
06/05/2019 10:19 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 10:19
06/05/2019 10:42 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 10:42
06/05/2019 10:48 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/05/2019 10:48
06/05/2019 11:14 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/05/2019 11:14
06/05/2019 11:34 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 06/05/2019 11:34
06/05/2019 12:36 - CINTIAFERREIRA | ID_USUARIO = 740 | DATA_LOGIN = 06/05/2019 12:36
06/05/2019 12:48 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 06/05/2019 12:48
06/05/2019 13:49 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/05/2019 13:49
06/05/2019 13:54 - VINICIUSSANTOS | ID_USUARIO = 7044 | DATA_LOGIN = 06/05/2019 13:54
06/05/2019 14:01 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/05/2019 14:01
06/05/2019 14:10 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/05/2019 14:10
06/05/2019 14:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 14:10
06/05/2019 14:11 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 06/05/2019 14:11
06/05/2019 14:19 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 06/05/2019 14:19
06/05/2019 14:22 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 06/05/2019 14:22
06/05/2019 14:25 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/05/2019 14:25
06/05/2019 14:25 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/05/2019 14:25
06/05/2019 14:37 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/05/2019 14:37
06/05/2019 14:38 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/05/2019 14:38
06/05/2019 14:38 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 14:38
06/05/2019 14:44 - VINICIUSSANTOS | ID_USUARIO = 7044 | DATA_LOGIN = 06/05/2019 14:44
