26/02/2018 08:38 - NATACHAPASTRE | ID =  | CI = 23893 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 3958.00
26/02/2018 12:25 - NATACHAPASTRE | ID =  | CI = 23896 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 3958.00
26/02/2018 16:02 - ALINEFERREIRA | ID =  | CI = 23903 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 634.00
26/02/2018 16:02 - ALINEFERREIRA | ID =  | CI = 23903 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 800.00
26/02/2018 16:03 - ALINEFERREIRA | ID = 21575 | CI = 23903 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 634.00
26/02/2018 16:03 - ALINEFERREIRA | ID = 21576 | CI = 23903 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 800.00
26/02/2018 16:03 - ALINEFERREIRA | ID = 21575 | CI = 23903 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 634.00
26/02/2018 16:03 - ALINEFERREIRA | ID = 21576 | CI = 23903 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 800.00
26/02/2018 16:33 - PARDAL | ID =  | CI = 23904 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 132.60
27/02/2018 08:59 - NORIVAL | ID =  | CI = 23912 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 14.00
27/02/2018 08:59 - NORIVAL | ID =  | CI = 23912 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 14.90
27/02/2018 10:21 - DENISESANTOS | ID =  | CI = 23916 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 283.32
27/02/2018 10:57 - KLEBER | ID =  | CI = 23920 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
27/02/2018 10:57 - KLEBER | ID =  | CI = 23920 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 4.00
27/02/2018 10:57 - KLEBER | ID =  | CI = 23920 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 215.67
27/02/2018 10:57 - KLEBER | ID =  | CI = 23920 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
27/02/2018 10:57 - KLEBER | ID =  | CI = 23920 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 140.57
27/02/2018 10:57 - KLEBER | ID =  | CI = 23920 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
27/02/2018 12:44 - OTAVIOGIRO | ID =  | CI = 23924 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
27/02/2018 12:44 - OTAVIOGIRO | ID =  | CI = 23924 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 31.65
