05/04/2016 07:06 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 05/04/2016 7:06
05/04/2016 07:06 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 05/04/2016 7:06
05/04/2016 07:15 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 05/04/2016 7:15
05/04/2016 07:15 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/04/2016 7:15
05/04/2016 07:17 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/04/2016 7:17
05/04/2016 07:20 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 05/04/2016 7:20
05/04/2016 07:23 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 05/04/2016 7:23
05/04/2016 07:30 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/04/2016 7:30
05/04/2016 07:33 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/04/2016 7:33
05/04/2016 07:37 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 05/04/2016 7:37
05/04/2016 07:41 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 05/04/2016 7:41
05/04/2016 07:51 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/04/2016 7:51
05/04/2016 07:53 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 05/04/2016 7:53
05/04/2016 07:57 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/04/2016 7:57
05/04/2016 07:59 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 05/04/2016 7:59
05/04/2016 08:09 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 05/04/2016 8:09
05/04/2016 08:12 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/04/2016 8:12
05/04/2016 08:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 8:23
05/04/2016 08:24 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 05/04/2016 8:24
05/04/2016 08:24 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 8:24
05/04/2016 08:29 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 05/04/2016 8:29
05/04/2016 08:50 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/04/2016 8:50
05/04/2016 08:50 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 8:50
05/04/2016 08:50 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 8:50
05/04/2016 08:54 - JG | ID_USUARIO = 10849 | DATA_LOGIN = 05/04/2016 8:54
05/04/2016 09:47 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/04/2016 9:47
05/04/2016 09:48 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/04/2016 9:48
05/04/2016 09:48 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/04/2016 9:48
05/04/2016 10:01 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 10:01
05/04/2016 10:06 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/04/2016 10:06
05/04/2016 10:06 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 10:06
05/04/2016 10:15 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 10:15
05/04/2016 10:20 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/04/2016 10:20
05/04/2016 10:21 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/04/2016 10:21
05/04/2016 10:22 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 10:22
05/04/2016 10:24 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/04/2016 10:24
05/04/2016 10:29 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/04/2016 10:29
05/04/2016 10:33 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 05/04/2016 10:33
05/04/2016 10:39 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/04/2016 10:39
05/04/2016 10:46 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/04/2016 10:46
05/04/2016 10:50 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/04/2016 10:50
05/04/2016 11:25 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/04/2016 11:25
05/04/2016 11:34 - HIGORGARCIA | ID_USUARIO = 11219 | DATA_LOGIN = 05/04/2016 11:34
05/04/2016 11:55 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 05/04/2016 11:55
05/04/2016 12:01 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 05/04/2016 12:01
05/04/2016 12:23 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/04/2016 12:23
05/04/2016 12:40 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/04/2016 12:40
05/04/2016 13:07 - HIGORGARCIA | ID_USUARIO = 11219 | DATA_LOGIN = 05/04/2016 13:07
